user_id,show_comment_id,created_at,updated_at,source
13991889,58541,2020-07-25 05:00:42,2020-07-25 05:00:42,mobile
13991889,128416,2020-10-11 23:36:31,2020-10-11 23:36:31,mobile
13991889,160422,2019-12-11 20:26:17,2019-12-11 20:26:17,mobile
13991889,310839,2020-07-25 05:00:26,2020-07-25 05:00:26,mobile
13991889,362097,2020-07-12 18:31:59,2020-07-12 18:31:59,mobile
13991889,470382,2017-08-05 10:32:02,2017-08-05 10:32:02,mobile
13991889,482368,2020-01-17 05:09:49,2020-01-17 05:09:49,mobile
13991889,856505,2020-01-17 05:10:30,2020-01-17 05:10:30,mobile
13991889,857512,2019-08-03 07:27:01,2019-08-03 07:27:01,mobile
13991889,947119,2020-07-30 04:29:49,2020-07-30 04:29:49,mobile
13991889,1164942,2019-08-03 07:27:22,2019-08-03 07:27:22,mobile
13991889,1170329,2020-01-17 05:10:50,2020-01-17 05:10:50,mobile
13991889,1193075,2020-01-17 05:09:21,2020-01-17 05:09:21,mobile
13991889,1279368,2019-08-03 07:27:47,2019-08-03 07:27:47,mobile
13991889,1381368,2020-05-22 05:58:46,2020-05-22 05:58:46,mobile
13991889,1538461,2021-07-20 04:15:49,2021-07-20 04:15:49,mobile
