created_at,updated_at,user_id,badge_id
2019-05-25 22:43:13,2019-05-25 22:43:13,13991889,121361-serial-actor-voter-3-bd
2024-01-25 02:57:26,2024-01-25 02:57:26,13991889,247808-marathoner-3-within-24-bd
2023-12-01 20:36:05,2023-12-01 20:36:05,13991889,247808-marathoner-5-within-24-bd
2018-07-20 23:54:50,2018-07-20 23:54:50,13991889,250749-marathoner-3-within-24-bd
2018-08-14 21:48:17,2018-08-14 21:48:17,13991889,250749-serial-actor-voter-10-bd
2018-08-07 05:34:51,2018-08-07 05:34:51,13991889,250749-serial-actor-voter-3-bd
2018-08-12 05:14:12,2018-08-12 05:14:12,13991889,250749-serial-actor-voter-5-bd
2018-08-14 21:48:19,2018-08-14 21:48:19,13991889,250749-serial-emotioner-10-bd
2018-08-07 05:34:53,2018-08-07 05:34:53,13991889,250749-serial-emotioner-3-bd
2018-08-12 05:14:15,2018-08-12 05:14:15,13991889,250749-serial-emotioner-5-bd
2017-12-30 07:15:01,2017-12-30 07:15:01,13991889,253463-marathoner-3-within-24-bd
2023-07-09 00:59:28,2023-07-09 00:59:28,13991889,253463-quick-watcher-10-bd
2017-12-30 07:15:01,2017-12-30 07:15:01,13991889,253463-quick-watcher-3-bd
2017-12-30 08:17:17,2017-12-30 08:17:17,13991889,253463-quick-watcher-5-bd
2023-07-09 00:59:35,2023-07-09 00:59:35,13991889,253463-serial-emotioner-3-bd
2018-01-19 04:42:52,2018-01-19 04:42:52,13991889,264492-marathoner-3-within-24-bd
2018-02-02 03:56:50,2018-02-02 03:56:50,13991889,264492-marathoner-5-within-24-bd
2023-05-07 03:41:35,2023-05-07 03:41:35,13991889,267440-marathoner-3-within-24-bd
2021-10-10 01:15:09,2021-10-10 01:15:09,13991889,267441-marathoner-3-within-24-bd
2018-09-08 14:50:23,2018-09-08 14:50:23,13991889,268592-marathoner-3-within-24-bd
2024-01-26 01:45:18,2024-01-26 01:45:18,13991889,268592-marathoner-5-within-24-bd
