user_id,friend_id,created_at,updated_at,affinity
13991889,574187,2020-07-25 05:00:52,2020-07-25 05:00:52,1
13991889,2893217,2019-03-24 11:33:34,2019-03-24 11:33:34,0
13991889,3183932,2019-03-24 11:35:16,2019-03-24 11:35:16,50
13991889,8111819,2020-08-13 15:07:02,2020-08-13 15:07:02,0
13991889,14096459,2018-07-16 04:02:01,2018-07-16 04:02:01,0
13991889,16481637,2017-11-02 23:14:36,2017-11-02 23:14:36,100
13991889,16996933,2017-11-27 19:00:47,2017-11-27 19:00:47,100
13991889,17277800,2017-12-11 19:51:55,2017-12-11 19:51:55,100
13991889,17660477,2018-07-16 04:02:00,2018-07-16 04:02:00,0
13991889,17723382,2018-01-01 20:16:58,2018-01-01 20:16:58,100
13991889,18941067,2018-02-15 00:20:49,2018-02-15 00:20:49,100
13991889,20782154,2018-07-16 04:01:59,2018-07-16 04:01:59,0
13991889,27839737,2019-03-03 21:15:07,2019-03-03 21:15:07,100
