user_id,episode_comment_id,created_at,updated_at,source
13991889,412278,2022-01-31 01:14:21,2022-01-31 01:14:21,mobile
13991889,829531,2017-08-19 20:31:42,2017-08-19 20:31:42,mobile
13991889,936893,2017-08-29 01:30:01,2017-08-29 01:30:01,mobile
13991889,1524854,2017-08-29 01:29:40,2017-08-29 01:29:40,mobile
13991889,2327184,2019-07-07 06:47:57,2019-07-07 06:47:57,mobile
13991889,3898478,2021-09-28 17:32:59,2021-09-28 17:32:59,mobile
13991889,4457462,2017-07-11 22:58:45,2017-07-11 22:58:45,mobile
13991889,6701118,2017-08-29 01:29:02,2017-08-29 01:29:02,mobile
13991889,6766420,2017-08-08 23:49:44,2017-08-08 23:49:44,mobile
13991889,7071349,2019-07-02 05:01:38,2019-07-02 05:01:38,mobile
13991889,7074789,2019-07-02 05:01:45,2019-07-02 05:01:45,mobile
13991889,7158874,2019-07-06 08:14:55,2019-07-06 08:14:55,mobile
13991889,7163125,2019-07-06 08:15:06,2019-07-06 08:15:06,mobile
13991889,7179653,2019-07-06 08:14:43,2019-07-06 08:14:43,mobile
13991889,7248649,2019-07-06 08:14:08,2019-07-06 08:14:08,mobile
13991889,7257972,2019-07-06 08:14:17,2019-07-06 08:14:17,mobile
13991889,7347546,2019-07-06 08:13:44,2019-07-06 08:13:44,mobile
13991889,7758517,2017-08-29 01:29:18,2017-08-29 01:29:18,mobile
13991889,7828314,2017-08-08 23:49:41,2017-08-08 23:49:41,mobile
13991889,8290850,2017-08-08 23:49:34,2017-08-08 23:49:34,mobile
13991889,8303195,2019-09-28 09:09:43,2019-09-28 09:09:43,mobile
13991889,8306326,2019-09-28 09:10:06,2019-09-28 09:10:06,mobile
13991889,8308908,2019-09-28 09:09:24,2019-09-28 09:09:24,mobile
13991889,8309840,2019-09-28 09:09:47,2019-09-28 09:09:47,mobile
13991889,8311164,2019-09-28 09:09:20,2019-09-28 09:09:20,mobile
13991889,8335053,2019-09-28 09:10:00,2019-09-28 09:10:00,mobile
13991889,8382441,2017-08-29 01:28:07,2017-08-29 01:28:07,mobile
13991889,9018727,2017-10-11 03:26:39,2017-10-11 03:26:39,mobile
13991889,9023051,2017-10-11 03:27:12,2017-10-11 03:27:12,mobile
13991889,9024456,2017-10-11 03:26:54,2017-10-11 03:26:54,mobile
13991889,9026176,2017-10-11 03:26:45,2017-10-11 03:26:45,mobile
13991889,9047211,2017-10-11 03:27:50,2017-10-11 03:27:50,mobile
13991889,9048526,2017-10-11 03:27:00,2017-10-11 03:27:00,mobile
