ad_id,id_type,created_at,updated_at,user_id
01dc45f4-5609-4886-8aad-1152431c3bd1,GG_PLAY_AD_ID,2022-05-19 00:31:44,2022-05-19 00:31:44,13991889
03242403-e768-48b6-b713-1c0cefc18840,GG_PLAY_AD_ID,2019-09-03 04:18:06,2019-09-03 04:18:06,13991889
03854995-6ae2-4c1c-ba54-e47ec68cc429,GG_PLAY_AD_ID,2024-04-09 15:55:15,2024-04-09 15:55:15,13991889
04c4d98c-3427-4838-b738-7fd7e69d2006,GG_PLAY_AD_ID,2019-12-15 04:06:31,2019-12-15 04:06:31,13991889
057bf4aa-2199-4aa3-ab68-3f9babe2bad9,GG_PLAY_AD_ID,2019-11-11 06:08:00,2019-11-11 06:08:00,13991889
07403f29-9432-43bb-8699-4734362793a1,GG_PLAY_AD_ID,2019-02-09 03:16:56,2019-02-09 03:16:56,13991889
085b92af-d6cf-4fa5-b011-41b563be5609,GG_PLAY_AD_ID,2017-10-28 16:20:38,2017-10-28 16:20:38,13991889
08db49f7-24d1-406c-80c3-9c1c74e55786,GG_PLAY_AD_ID,2019-01-31 22:44:42,2019-01-31 22:44:42,13991889
14199465-2548-477b-a834-c013cd63435a,GG_PLAY_AD_ID,2019-06-07 19:08:08,2019-06-07 19:08:08,13991889
16672cb6-ac69-445f-a1fd-31e7e04be214,GG_PLAY_AD_ID,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
17a4d9e0-52e3-4e7a-b4c2-335952dc2b43,GG_PLAY_AD_ID,2019-02-14 14:32:07,2019-02-14 14:32:07,13991889
1ab4843a-0db8-43c2-89e7-76aa1cce25f6,GG_PLAY_AD_ID,2022-07-12 03:13:52,2022-07-12 03:13:52,13991889
1bec6a6f-c875-4b29-8da9-48e91c740ad9,GG_PLAY_AD_ID,2018-10-31 03:41:20,2018-10-31 03:41:20,13991889
1cd8a784-f097-4948-9d9b-a25feecb7a5b,GG_PLAY_AD_ID,2018-07-21 21:09:02,2018-07-21 21:09:02,13991889
1e48df04-ff19-470f-890a-f7413a48f2c7,GG_PLAY_AD_ID,2018-12-23 06:36:52,2018-12-23 06:36:52,13991889
23c64067-3e19-498e-b8f3-5aa2b63f3652,GG_PLAY_AD_ID,2019-11-05 01:11:48,2019-11-05 01:11:48,13991889
2f552628-702a-4c23-b603-b8519d0928c6,GG_PLAY_AD_ID,2019-01-26 07:53:40,2019-01-26 07:53:40,13991889
302d1ef8-50a3-4a14-b714-60e0508c0f19,GG_PLAY_AD_ID,2018-09-01 14:21:44,2018-09-01 14:21:44,13991889
306cefdd-854a-4442-830e-6e03c33c4efc,GG_PLAY_AD_ID,2017-07-20 18:29:01,2017-07-20 18:29:01,13991889
331d8ece-54de-4abf-9228-fa68e7d812c7,GG_PLAY_AD_ID,2019-10-05 05:16:14,2019-10-05 05:16:14,13991889
349a22c4-bfaf-4781-b7f1-0bbedc12c2fb,GG_PLAY_AD_ID,2019-01-14 04:13:28,2019-01-14 04:13:28,13991889
384cb977-ec38-4388-94bc-e895ce281578,GG_PLAY_AD_ID,2022-05-20 23:55:52,2022-05-20 23:55:52,13991889
386726cf-1289-42a3-be22-07b3f8c866b4,GG_PLAY_AD_ID,2020-01-14 03:33:32,2020-01-14 03:33:32,13991889
3914863a-1daf-460f-b7e1-f4324d29e31f,GG_PLAY_AD_ID,2019-10-02 03:10:25,2019-10-02 03:10:25,13991889
3b1c0c3f-f25b-4b75-8b5a-a86756199d45,GG_PLAY_AD_ID,2021-04-08 05:44:13,2021-04-08 05:44:13,13991889
3ff8e4ad-5cfa-4513-a369-7c8b53b8b79e,GG_PLAY_AD_ID,2019-04-07 03:57:49,2019-04-07 03:57:49,13991889
4718e4be-9ecc-4560-8fe6-bd1347bffca2,GG_PLAY_AD_ID,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
51bf12cd-c881-499f-9fe0-eab4442073f5,GG_PLAY_AD_ID,2024-01-05 02:24:01,2024-01-05 02:24:01,13991889
534a4cb0-54ff-43c7-adc8-8f5981d2813c,GG_PLAY_AD_ID,2017-10-04 17:31:02,2017-10-04 17:31:02,13991889
580890af-2199-4732-b8a7-0ee9ed716879,GG_PLAY_AD_ID,2019-07-17 20:04:16,2019-07-17 20:04:16,13991889
58d19c24-79fc-4ea9-88ab-bd9821891970,GG_PLAY_AD_ID,2021-07-14 17:26:36,2021-07-14 17:26:36,13991889
5ae9ed61-ea31-4c57-bc2a-9ee0db034e53,GG_PLAY_AD_ID,2022-01-16 04:14:43,2022-01-16 04:14:43,13991889
5f1e2587-c8ae-4363-9efa-fe5605b19632,GG_PLAY_AD_ID,2020-11-29 21:56:20,2020-11-29 21:56:20,13991889
5f38a74f-ef45-4589-b1a2-51b79f2d3d25,GG_PLAY_AD_ID,2021-02-21 22:31:44,2021-02-21 22:31:44,13991889
5feb87d4-b2c0-4945-a5c0-3502d723e43c,GG_PLAY_AD_ID,2020-12-04 03:53:48,2020-12-04 03:53:48,13991889
6384dbf0-bed6-4021-a5dd-016413996499,GG_PLAY_AD_ID,2021-06-17 21:01:02,2021-06-17 21:01:02,13991889
63869026-513e-47fd-9352-05beb92b7f02,GG_PLAY_AD_ID,2017-11-28 20:59:28,2017-11-28 20:59:28,13991889
65295682-ab1a-47bc-b592-f554734b5ec0,GG_PLAY_AD_ID,2023-06-04 15:56:40,2023-06-04 15:56:40,13991889
6571dd42-a25e-4c0e-ae65-51e6ffcd8616,GG_PLAY_AD_ID,2019-09-13 03:01:05,2019-09-13 03:01:05,13991889
6d20bc11-43c1-4dec-a4f3-5f040a2200f4,GG_PLAY_AD_ID,2020-05-01 04:53:12,2020-05-01 04:53:12,13991889
6ec051e4-f4ba-4565-87fd-356f04130a38,GG_PLAY_AD_ID,2019-03-30 03:39:54,2019-03-30 03:39:54,13991889
75e737a2-8448-4575-b6fe-76a278aa5895,GG_PLAY_AD_ID,2018-06-01 09:34:59,2018-06-01 09:34:59,13991889
798af660-e052-4249-945e-41132610f688,GG_PLAY_AD_ID,2018-02-04 00:17:35,2018-02-04 00:17:35,13991889
799a10a2-9c3e-46b7-8705-bb9e08265c47,GG_PLAY_AD_ID,2019-11-15 06:48:18,2019-11-15 06:48:18,13991889
7c9b0925-f7e5-4edb-9302-c0395b09e9c3,GG_PLAY_AD_ID,2019-10-04 23:45:15,2019-10-04 23:45:15,13991889
7e0a3cd5-bb75-4297-b94a-769060e27ce7,GG_PLAY_AD_ID,2018-11-08 03:03:47,2018-11-08 03:03:47,13991889
854f92c3-1f32-4eaf-89c2-90c1de4d1914,GG_PLAY_AD_ID,2020-12-17 05:47:41,2020-12-17 05:47:41,13991889
90a2f112-775a-40c3-8fe5-d167d7d627bf,GG_PLAY_AD_ID,2019-01-11 04:00:38,2019-01-11 04:00:38,13991889
92d173d5-3955-4b53-82b3-5c48ae124af4,GG_PLAY_AD_ID,2023-12-16 03:53:10,2023-12-16 03:53:10,13991889
9f74b5a7-a24e-4d3a-bb9d-82ca758b2f8e,GG_PLAY_AD_ID,2021-08-17 05:24:41,2021-08-17 05:24:41,13991889
a3785bfc-ef22-4f01-852c-6d3202f79715,GG_PLAY_AD_ID,2019-10-02 20:02:53,2019-10-02 20:02:53,13991889
a7631f54-814b-4f0b-93ce-ffd74b8d8c04,GG_PLAY_AD_ID,2023-11-12 15:34:59,2023-11-12 15:34:59,13991889
ba0fd51e-bdcd-44a2-9505-4478efa2efc6,GG_PLAY_AD_ID,2020-01-08 21:52:22,2020-01-08 21:52:22,13991889
ba5e3722-452b-46ca-be4a-4f5618603060,GG_PLAY_AD_ID,2019-06-28 20:43:30,2019-06-28 20:43:30,13991889
bb64d767-c1af-41c2-87b4-f980f74872d9,GG_PLAY_AD_ID,2025-04-17 13:53:40,2025-04-17 13:53:40,13991889
bc75fba8-2a98-47bb-8ab9-e159c23d4920,GG_PLAY_AD_ID,2019-05-24 22:34:35,2019-05-24 22:34:35,13991889
bf90d909-5398-4898-bcee-c49c7c3ee981,GG_PLAY_AD_ID,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
c2f845d3-3635-4648-9949-caa700724b5e,GG_PLAY_AD_ID,2017-09-11 19:40:49,2017-09-11 19:40:49,13991889
c5ca9566-c103-4a51-b624-8988f7f290a8,GG_PLAY_AD_ID,2021-05-11 17:13:16,2021-05-11 17:13:16,13991889
c6a2b113-4920-4367-8303-5c6ce136612e,GG_PLAY_AD_ID,2017-07-31 04:00:32,2017-07-31 04:00:32,13991889
c820a93a-bb3c-4a58-a653-e2ecc23e4e96,GG_PLAY_AD_ID,2019-09-26 19:38:16,2019-09-26 19:38:16,13991889
