created_at,updated_at,message,user_id,object_type,object_id,report_type
2019-03-24 11:38:01,2019-03-24 11:38:01,,13991889,episode-comment,16376975,spam
2019-10-22 19:06:56,2019-10-22 19:06:56,,13991889,episode-comment,18931905,spam
2019-10-22 19:06:47,2019-10-22 19:06:47,,13991889,episode-comment,18931905,spoiler
2019-10-22 19:06:18,2019-10-22 19:06:18,,13991889,episode-comment,18931910,spoiler
