created_at,url,small_url,episode_comment_id,meme_id,height,medium_url,clean_version_medium_url,gif_url,external,updated_at,id,width,clean_version_url,clean_version_small_url,blurred_version_url,gif_small_url,has_drawing,captions,gif_medium_url,signature,type,has_captions,has_stickers
2019-09-23 14:40:52,,,18683545,8310088,400,https://d12qk6n9ersps4.cloudfront.net/8310088/medium-marked.jpg,https://d12qk6n9ersps4.cloudfront.net/8310088/medium-clean.jpg,,1,2019-09-23 14:40:52,8310088,800,,,,,0,null,,,meme,0,0
2019-12-23 00:47:32,,,19452302,8629936,800,https://d12qk6n9ersps4.cloudfront.net/8629936/medium-marked.jpg,https://d12qk6n9ersps4.cloudfront.net/8629936/medium-clean.jpg,,1,2019-12-23 00:47:33,8629936,800,,,,,0,null,,,meme,0,0
