device_id,app_id,removed,created_at,updated_at,user_id
4a638965156cfbfe66265f534bc5cda0,com.whatsapp,0,2017-10-04 17:31:02,2017-10-04 17:31:02,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.facebook.lite,0,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.instagram.android,0,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.netflix.mediaclient,0,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.snapchat.android,0,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.twitter.android,0,2017-10-22 08:12:04,2017-10-22 08:12:04,13991889
4fb5689fbb7ad5088e64c5e1692fca36,com.whatsapp,0,2017-10-22 01:31:36,2017-10-22 01:31:36,13991889
57c80d5f278cf3cd987fd1026d8e74fa,com.instagram.android,0,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
57c80d5f278cf3cd987fd1026d8e74fa,com.netflix.mediaclient,0,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
57c80d5f278cf3cd987fd1026d8e74fa,com.snapchat.android,0,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
57c80d5f278cf3cd987fd1026d8e74fa,com.twitter.android,0,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
57c80d5f278cf3cd987fd1026d8e74fa,com.whatsapp,0,2019-09-30 05:47:54,2019-09-30 05:47:54,13991889
5cec83971505c43b95f9e614aed97f61,com.facebook.katana,0,2019-01-26 07:53:40,2019-01-26 07:53:40,13991889
5cec83971505c43b95f9e614aed97f61,com.instagram.android,0,2019-01-26 07:53:40,2019-01-26 07:53:40,13991889
5cec83971505c43b95f9e614aed97f61,com.netflix.mediaclient,1,2019-01-26 07:53:40,2019-04-07 13:35:50,13991889
5cec83971505c43b95f9e614aed97f61,com.twitter.android,0,2019-01-26 07:53:40,2019-01-26 07:53:40,13991889
5cec83971505c43b95f9e614aed97f61,com.whatsapp,0,2019-01-26 07:53:40,2019-03-30 08:50:19,13991889
73074bb42dc0df472b916754324bae7e,com.facebook.katana,0,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
73074bb42dc0df472b916754324bae7e,com.instagram.android,0,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
73074bb42dc0df472b916754324bae7e,com.netflix.mediaclient,0,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
73074bb42dc0df472b916754324bae7e,com.snapchat.android,0,2018-10-15 23:49:49,2018-10-15 23:49:49,13991889
73074bb42dc0df472b916754324bae7e,com.twitter.android,0,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
73074bb42dc0df472b916754324bae7e,com.whatsapp,0,2018-10-14 23:06:34,2018-10-14 23:06:34,13991889
83391a56699ec142253fe7750d3d8a53,com.instagram.android,0,2019-10-02 20:02:53,2019-10-05 06:05:10,13991889
83391a56699ec142253fe7750d3d8a53,com.netflix.mediaclient,0,2019-10-02 20:02:53,2019-10-02 20:02:53,13991889
83391a56699ec142253fe7750d3d8a53,com.snapchat.android,0,2019-10-02 20:02:53,2019-10-02 20:02:53,13991889
83391a56699ec142253fe7750d3d8a53,com.twitter.android,0,2019-10-02 20:02:53,2019-10-02 20:02:53,13991889
83391a56699ec142253fe7750d3d8a53,com.whatsapp,0,2019-10-02 20:02:53,2019-10-05 06:05:10,13991889
8a4cfac9fe010daeb43556dfe79ecadd,com.instagram.android,0,2019-10-11 15:08:08,2019-10-29 15:12:29,13991889
