updated_at,medium,content,campaign,id,user_id,platform,source,deeplink,created_at
2018-04-08 17:24:16,,,,15003858,13991889,android,deeplink,tvst://towatch,2018-04-08 17:24:16
2018-04-10 23:05:50,,,,15102760,13991889,android,notification-episode-will-air,tvst://agenda,2018-04-10 23:05:50
2018-04-11 19:28:45,,,,15134093,13991889,android,deeplink,tvst://towatch,2018-04-11 19:28:45
2018-04-12 00:03:25,,,,15148490,13991889,android,deeplink,tvst://towatch,2018-04-12 00:03:25
2018-04-12 20:25:08,,,,15179738,13991889,android,deeplink,tvst://towatch,2018-04-12 20:25:08
2018-04-12 20:25:08,,,,15179739,13991889,android,deeplink,tvst://towatch,2018-04-12 20:25:08
2018-04-13 18:44:48,,,,15213198,13991889,android,deeplink,tvst://towatch,2018-04-13 18:44:48
2018-04-14 15:29:34,,,,15244310,13991889,android,deeplink,tvst://towatch,2018-04-14 15:29:34
2018-04-17 22:51:29,,,,15377848,13991889,android,deeplink,tvst://towatch,2018-04-17 22:51:29
2018-04-18 00:04:59,,,,15381214,13991889,android,deeplink,tvst://towatch,2018-04-18 00:04:59
2018-04-18 19:59:43,,,,15416026,13991889,android,deeplink,tvst://towatch,2018-04-18 19:59:43
2018-04-19 03:21:01,,,,15434023,13991889,android,deeplink,tvst://towatch,2018-04-19 03:21:01
2018-05-01 22:19:41,,,,16006775,13991889,android,deeplink,tvst://towatch,2018-05-01 22:19:41
2018-05-04 18:34:56,,,,16142138,13991889,android,deeplink,tvst://towatch,2018-05-04 18:34:56
2018-05-10 23:08:40,,,,16402665,13991889,android,deeplink,tvst://towatch,2018-05-10 23:08:40
2018-05-12 05:28:45,,,,16457364,13991889,android,deeplink,tvst://towatch,2018-05-12 05:28:45
2018-05-12 16:08:14,,,,16469090,13991889,android,deeplink,tvst://towatch,2018-05-12 16:08:14
2018-05-12 16:08:14,,,,16469091,13991889,android,deeplink,tvst://towatch,2018-05-12 16:08:14
2018-05-12 23:08:23,,,,16488015,13991889,android,deeplink,tvst://towatch,2018-05-12 23:08:23
2018-05-16 22:29:09,,,,16640193,13991889,android,deeplink,tvst://towatch,2018-05-16 22:29:09
2018-05-20 05:17:00,,,,16821661,13991889,android,deeplink,tvst://towatch,2018-05-20 05:17:00
2018-05-20 05:27:43,,,,16821758,13991889,android,deeplink,tvst://towatch,2018-05-20 05:27:43
2018-05-20 05:27:43,,,,16821759,13991889,android,deeplink,tvst://towatch,2018-05-20 05:27:43
2018-05-20 17:26:11,,,,16836172,13991889,android,deeplink,tvst://towatch,2018-05-20 17:26:11
2018-05-20 20:20:24,,,,16843035,13991889,android,deeplink,tvst://towatch,2018-05-20 20:20:24
2018-05-21 02:44:39,,,,16855356,13991889,android,deeplink,tvst://towatch,2018-05-21 02:44:39
2018-05-22 22:04:44,,,,16920898,13991889,android,notification-episode-will-air,tvst://agenda,2018-05-22 22:04:44
2018-05-23 20:18:21,,,,16957407,13991889,android,deeplink,tvst://towatch,2018-05-23 20:18:21
2018-05-24 02:29:59,,,,16970794,13991889,android,deeplink,tvst://towatch,2018-05-24 02:29:59
2018-05-24 03:14:56,,,,16971391,13991889,android,deeplink,tvst://towatch,2018-05-24 03:14:56
2018-05-24 21:39:09,,,,16998466,13991889,android,deeplink,tvst://towatch,2018-05-24 21:39:09
2018-05-28 22:57:39,,,,17108843,13991889,android,deeplink,https://www.tvtime.com/es/show/260315,2018-05-28 22:57:39
2018-05-30 02:56:40,,,,17153652,13991889,android,deeplink,tvst://towatch,2018-05-30 02:56:40
2018-06-01 21:34:27,,,,17235780,13991889,android,deeplink,tvst://towatch,2018-06-01 21:34:27
2018-06-03 05:01:53,,,,17265049,13991889,android,deeplink,tvst://towatch,2018-06-03 05:01:53
2018-06-03 21:53:50,,,,17283167,13991889,android,deeplink,tvst://towatch,2018-06-03 21:53:50
2018-06-04 20:11:21,,,,17310455,13991889,android,deeplink,tvst://towatch,2018-06-04 20:11:21
2018-06-07 18:14:31,,,,17405191,13991889,android,deeplink,tvst://towatch,2018-06-07 18:14:31
2018-06-07 20:19:23,,,,17413429,13991889,android,deeplink,tvst://towatch,2018-06-07 20:19:23
2018-06-11 01:15:55,,,,17501969,13991889,android,deeplink,tvst://towatch,2018-06-11 01:15:55
2018-06-15 18:03:33,,,,17638395,13991889,android,deeplink,https://www.tvtime.com/es/show/328599,2018-06-15 18:03:33
2018-07-16 15:10:30,,,,18441193,13991889,android,notification-follow-requested,tvst://user/17660477/detail,2018-07-16 15:10:30
2018-07-16 21:54:38,,,,18454869,13991889,android,deeplink,https://www.tvtime.com/es/show/269750,2018-07-16 21:54:38
2018-07-21 15:18:15,,,,18601999,13991889,android,deeplink,https://www.tvtime.com/es/show/315178,2018-07-21 15:18:15
2018-08-10 17:56:07,,,,19175325,13991889,android,deeplink,https://www.tvtime.com/es/show/294176,2018-08-10 17:56:07
2018-08-14 17:42:57,,,,19250978,13991889,android,deeplink,https://www.tvtime.com/es/show/328569,2018-08-14 17:42:57
2018-08-14 17:43:11,,,,19250984,13991889,android,deeplink,https://www.tvtime.com/es/show/328569,2018-08-14 17:43:11
2018-08-14 17:45:38,,,,19251050,13991889,android,deeplink,https://www.tvtime.com/es/show/328552,2018-08-14 17:45:38
2018-08-19 05:33:33,,,,19344628,13991889,android,notification-badge-unlocked,tvst://user/13991889/badges?badge_id=270701-marathoner-10-within-48-bd,2018-08-19 05:33:33
2018-09-13 22:37:51,,,,20038699,13991889,android,deeplink,https://www.tvtime.com/es/show/346602,2018-09-13 22:37:51
2018-10-08 19:21:46,,,,20851052,13991889,android,notification-show-starts-again,tvst://agenda,2018-10-08 19:21:46
2018-11-07 02:43:52,,,,22129489,13991889,android,notification-episode-commented,tvst://show/279121/episode/6794675/comment/14837781,2018-11-07 02:43:52
2018-11-07 03:18:58,,,,22129894,13991889,android,notification-episode-commented,tvst://show/279121/episode/6794677/comment/14837925,2018-11-07 03:18:58
2018-11-07 18:27:57,,,,22141872,13991889,android,notification-episode-commented,tvst://show/295760/episode/6733459/comment/14844168,2018-11-07 18:27:57
2018-11-12 00:02:50,,,,22306063,13991889,android,notification-episode-will-air,tvst://agenda,2018-11-12 00:02:50
2018-12-17 19:07:36,,,,23459207,13991889,android,deeplink,https://www.tvtime.com/es/show/349942,2018-12-17 19:07:36
2019-01-10 18:31:42,,,,24013710,13991889,android,deeplink,https://www.tvtime.com/es/show/269533,2019-01-10 18:31:42
2019-01-16 00:25:34,,,,24173350,13991889,android,notification-episode-will-air,tvst://agenda,2019-01-16 00:25:34
2019-01-16 01:20:03,,,,24175914,13991889,android,notification-episode-will-air,tvst://agenda,2019-01-16 01:20:03
2019-01-19 18:01:25,,,,24349755,13991889,android,deeplink,https://www.tvtime.com/es/show/262414,2019-01-19 18:01:25
2019-02-01 18:19:39,,,,24848133,13991889,android,deeplink,https://www.tvtime.com/es/show/347648,2019-02-01 18:19:39
2019-02-02 02:36:44,,,,24873327,13991889,android,notification-episode-will-air,tvst://agenda,2019-02-02 02:36:44
2019-02-02 07:34:29,,,,24876133,13991889,android,notification-episode-will-air,tvst://agenda,2019-02-02 07:34:29
2019-02-03 00:53:54,,,,24905075,13991889,android,notification-episode-will-air,tvst://agenda,2019-02-03 00:53:54
2019-02-03 03:11:17,,,,24907815,13991889,android,notification-episode-will-air,tvst://agenda,2019-02-03 03:11:17
2019-02-03 05:37:47,,,,24909105,13991889,android,notification-episode-will-air,tvst://agenda,2019-02-03 05:37:47
2019-02-21 18:22:34,,,,25453432,13991889,android,notification-episode-commented,tvst://show/350864/episode/6775597/comment/16148218,2019-02-21 18:22:34
2019-02-21 19:46:51,,,,25458095,13991889,android,deeplink,https://www.tvtime.com/es/show/322672,2019-02-21 19:46:51
2019-03-02 20:22:06,,,,25724100,13991889,android,deeplink,https://www.tvtime.com/es/show/70682,2019-03-02 20:22:06
2019-03-25 19:53:20,,,,26360973,13991889,android,deeplink,https://www.tvtime.com/es/show/343074,2019-03-25 19:53:20
2019-05-11 23:42:53,,,,28258213,13991889,android,deeplink,https://www.tvtime.com/es/show/328092,2019-05-11 23:42:53
2019-05-15 16:37:25,,,,28414723,13991889,android,notification-marketing-notification,tvst://article/16855,2019-05-15 16:37:25
2019-06-09 20:14:44,,,,29331692,13991889,android,notification-episode-reply-liked,tvst://show/253463/episode/7192545/comment/17532108,2019-06-09 20:14:44
2019-06-10 19:32:46,,,,29358520,13991889,android,notification-episode-reply-liked,tvst://show/253463/episode/7192545/comment/17532108,2019-06-10 19:32:46
2019-06-12 12:59:59,,,,29402273,13991889,android,deeplink,https://www.tvtime.com/es/show/332898,2019-06-12 12:59:59
2019-06-14 17:54:28,,,,29474827,13991889,android,deeplink,https://www.tvtime.com/es/show/340087,2019-06-14 17:54:28
2019-06-24 23:01:08,,,,29722433,13991889,android,deeplink,https://www.tvtime.com/es/show/281709,2019-06-24 23:01:08
2019-07-11 15:01:55,,,,30123329,13991889,android,deeplink,https://www.tvtime.com/es/show/337480,2019-07-11 15:01:55
2019-07-11 17:06:43,,,,30125163,13991889,android,deeplink,https://www.tvtime.com/es/show/349743,2019-07-11 17:06:43
2019-07-14 03:15:26,,,,30172451,13991889,android,deeplink,https://www.tvtime.com/es/show/280494,2019-07-14 03:15:26
2019-07-14 03:16:49,,,,30172462,13991889,android,deeplink,https://www.tvtime.com/es/show/276564,2019-07-14 03:16:49
2019-08-02 17:10:56,,,,30629079,13991889,android,deeplink,https://www.tvtime.com/es/show/292262,2019-08-02 17:10:56
2019-08-07 19:14:14,,,,30722345,13991889,android,deeplink,https://www.tvtime.com/es/show/81494,2019-08-07 19:14:14
2019-08-11 15:49:55,,,,30793279,13991889,android,deeplink,https://www.tvtime.com/es/show/341663,2019-08-11 15:49:55
2019-08-12 21:12:02,,,,30820807,13991889,android,deeplink,https://www.tvtime.com/es/show/311917,2019-08-12 21:12:02
2019-08-13 17:08:24,,,,30831658,13991889,android,deeplink,https://www.tvtime.com/es/show/310516,2019-08-13 17:08:24
2019-08-20 03:23:19,,,,30948058,13991889,android,deeplink,https://www.tvtime.com/es/show/284641,2019-08-20 03:23:19
2019-08-20 17:47:41,,,,30955162,13991889,android,deeplink,https://www.tvtime.com/es/show/309130,2019-08-20 17:47:41
2019-08-21 18:49:34,,,,30970363,13991889,android,deeplink,https://www.tvtime.com/es/show/317654,2019-08-21 18:49:34
2019-08-22 18:45:21,,,,31007672,13991889,android,deeplink,https://www.tvtime.com/es/show/311818,2019-08-22 18:45:21
2019-08-22 18:45:37,,,,31007700,13991889,android,deeplink,https://www.tvtime.com/es/show/311944,2019-08-22 18:45:37
2019-09-07 17:05:54,,,,31360293,13991889,android,deeplink,https://www.tvtime.com/es/show/281470,2019-09-07 17:05:54
2019-10-04 19:41:53,,,,32052428,13991889,android,notification-badge-unlocked,tvst://user/13991889/badges?badge_id=282994-serial-actor-voter-5-bd,2019-10-04 19:41:53
2019-11-12 18:37:01,,,,33042602,13991889,android,deeplink,tvst://towatch,2019-11-12 18:37:01
2019-11-12 23:54:37,,,,33049556,13991889,android,deeplink,tvst://towatch,2019-11-12 23:54:37
2019-11-24 04:32:34,,,,33311100,13991889,android,deeplink,tvst://discover,2019-11-24 04:32:34
2019-12-03 00:36:26,,,,33510410,13991889,android,deeplink,https://www.tvtime.com/es/show/311713,2019-12-03 00:36:26
2020-01-14 17:23:03,,,,34333084,13991889,android,deeplink,http://click.tvtime.com/uni/wf/click?upn=AltkCGB4k648mivnCb0aX-2B5w0svbLGWIxfuu8Y90IIqtXH8Mc0eoAj-2FL9G94R50l2sJfcQ-2BIlPWD7QkqPi5Y8o6Tf5lg0W93X7Jo5ojMY49c756-2BBkWf-2BRzonG2sH0lehRTM226BkPJV3kp8IqjAvCjP-2FUbIm8yw03MksPSj212n74NgN-2FNFw2WBbY39Yl4dNEI4j3ue,2020-01-14 17:23:03
2020-02-17 16:08:44,,,,35231463,13991889,android,deeplink,tvst://discover,2020-02-17 16:08:44
2020-02-17 21:17:20,,,,35240818,13991889,android,deeplink,tvst://discover,2020-02-17 21:17:20
2020-02-26 13:39:43,,,,35435985,13991889,android,deeplink,tvst://discover,2020-02-26 13:39:43
2020-09-02 01:00:26,,,,38330707,13991889,android,deeplink,https://www.tvtime.com/es/show/295068,2020-09-02 01:00:26
2020-09-07 21:47:01,,,,38370951,13991889,android,deeplink,https://www.tvtime.com/es/show/79275,2020-09-07 21:47:01
2020-09-27 17:35:08,,,,38532821,13991889,android,deeplink,tvst://show/375892/comment/1385090,2020-09-27 17:35:08
2020-10-29 02:35:15,,,,38782145,13991889,android,deeplink,https://www.tvtime.com/es/show/75897,2020-10-29 02:35:15
2020-12-15 14:03:43,,,,39209773,13991889,android,deeplink,tvst://show/289590/episode/7495678/comment/23426626,2020-12-15 14:03:43
