updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,created_at
2026-06-30 20:37:04,Rick and Morty,9,5,13991889,11759795,2026-06-30 20:37:04
2026-07-02 00:38:11,Rick and Morty,9,6,13991889,11759796,2026-07-02 00:38:11
