season_number,episode_number,vote_key,episode_id,user_id,series_name
4,32,7118398-13991889-13,7118398,13991889,Star vs. the Forces of Evil
4,33,7118400-13991889-28,7118400,13991889,Star vs. the Forces of Evil
4,33,7118400-13991889-13,7118400,13991889,Star vs. the Forces of Evil
4,33,7118400-13991889-18,7118400,13991889,Star vs. the Forces of Evil
4,34,7118401-13991889-28,7118401,13991889,Star vs. the Forces of Evil
4,34,7118401-13991889-13,7118401,13991889,Star vs. the Forces of Evil
4,34,7118401-13991889-18,7118401,13991889,Star vs. the Forces of Evil
4,35,7118402-13991889-28,7118402,13991889,Star vs. the Forces of Evil
4,35,7118402-13991889-18,7118402,13991889,Star vs. the Forces of Evil
4,36,7118403-13991889-38,7118403,13991889,Star vs. the Forces of Evil
4,36,7118403-13991889-18,7118403,13991889,Star vs. the Forces of Evil
4,36,7118403-13991889-28,7118403,13991889,Star vs. the Forces of Evil
4,36,7118403-13991889-14,7118403,13991889,Star vs. the Forces of Evil
4,37,7118404-13991889-38,7118404,13991889,Star vs. the Forces of Evil
4,37,7118404-13991889-14,7118404,13991889,Star vs. the Forces of Evil
4,37,7118404-13991889-28,7118404,13991889,Star vs. the Forces of Evil
4,37,7118404-13991889-18,7118404,13991889,Star vs. the Forces of Evil
4,37,7118404-13991889-13,7118404,13991889,Star vs. the Forces of Evil
1,1,7122169-13991889-28,7122169,13991889,Demon Slayer: Kimetsu no Yaiba
1,1,7122169-13991889-32,7122169,13991889,Demon Slayer: Kimetsu no Yaiba
2,21,7152841-13991889-24,7152841,13991889,Young Sheldon
2,21,7152841-13991889-28,7152841,13991889,Young Sheldon
5,22,7159480-13991889-30,7159480,13991889,The Flash (2014)
5,22,7159480-13991889-15,7159480,13991889,The Flash (2014)
6,3,7159487-13991889-24,7159487,13991889,The 100
6,3,7159487-13991889-28,7159487,13991889,The 100
1,1,7171864-13991889-18,7171864,13991889,The Rook
1,1,7171864-13991889-38,7171864,13991889,The Rook
1,1,7171864-13991889-14,7171864,13991889,The Rook
1,1,7171864-13991889-28,7171864,13991889,The Rook
6,4,7172420-13991889-21,7172420,13991889,The 100
