created_at,updated_at,avg_time,question_group,lang_taken,user_id,quiz_id,finished,score,result_image_url,teammate_id
2017-09-14 00:18:25,2017-09-14 00:19:33,4.69,,,13991889,84,1,1182,,
2017-09-14 00:16:59,2017-09-14 00:17:58,3.66,,,13991889,110,1,3354,,
2017-09-14 00:19:49,2017-09-14 00:21:15,6.45,,,13991889,129,1,1454,,
2019-07-06 08:15:39,2019-07-06 08:16:52,0,,en,13991889,136,0,1097,,
2018-04-13 02:00:00,2018-04-13 02:01:40,3.61,,es,13991889,159,1,1461,,
2018-03-01 06:43:09,2018-03-01 06:45:06,4.16,,es,13991889,177,1,2594,,
2017-10-14 17:10:12,2017-10-14 17:11:51,2.14,,,13991889,191,1,2350,,
2018-03-01 06:38:49,2018-03-01 06:40:56,5.76,,es,13991889,204,1,967,,
2018-03-01 06:41:05,2018-03-01 06:42:56,4.23,,es,13991889,207,1,1926,,
2018-04-13 02:01:54,2018-04-13 02:03:52,3.93,,es,13991889,214,1,2573,https://d1zfszn0v5ya99.cloudfront.net/user/13991889/quiz_results/214.jpg,
2017-11-24 04:32:52,2017-11-24 04:34:51,4.40,,es,13991889,233,1,2347,,
2017-11-24 04:36:27,2017-11-24 04:38:13,3.67,,es,13991889,247,1,2331,,
2018-02-27 01:21:06,2018-02-27 01:21:24,0,,es,13991889,322,0,387,,
2018-11-25 19:44:29,2018-11-25 19:46:40,5.18,,es,13991889,472,1,1279,,
2018-11-25 19:41:57,2018-11-25 19:43:53,4.08,,es,13991889,475,1,2630,,
