updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,source,created_at
2017-09-01 10:03:16,Rick and Morty,1,2,13991889,4725805,episode-detail,2017-09-01 10:03:16
2018-07-31 17:33:49,Steven Universe,1,7,13991889,4727778,episode-detail,2018-07-31 17:33:49
2017-09-10 03:30:18,Rick and Morty,1,3,13991889,4730467,episode-detail,2017-09-10 03:30:18
2017-09-10 04:12:12,Rick and Morty,1,4,13991889,4743885,episode-detail,2017-09-10 04:12:12
2017-09-10 04:37:21,Rick and Morty,1,5,13991889,4743886,to-watch,2017-09-10 04:37:21
2017-09-10 04:37:32,Rick and Morty,1,6,13991889,4743887,to-watch,2017-09-10 04:37:32
2017-09-10 05:24:00,Rick and Morty,1,7,13991889,4743888,to-watch,2017-09-10 05:24:00
2017-09-11 01:48:11,Rick and Morty,1,8,13991889,4743889,to-watch,2017-09-11 01:48:11
2017-09-11 01:48:16,Rick and Morty,1,9,13991889,4743890,to-watch,2017-09-11 01:48:16
2017-09-11 02:13:39,Rick and Morty,1,10,13991889,4743891,season-detail,2017-09-11 02:13:39
2017-09-11 02:14:01,Rick and Morty,1,11,13991889,4743892,season-detail,2017-09-11 02:14:01
2018-07-31 18:53:17,Steven Universe,1,8,13991889,4753096,episode-detail,2018-07-31 18:53:17
2018-08-02 01:00:25,Steven Universe,1,9,13991889,4753097,to-watch,2018-08-02 01:00:25
2018-08-02 01:00:27,Steven Universe,1,10,13991889,4753098,to-watch,2018-08-02 01:00:27
2018-01-29 06:17:34,Under the Dome,2,1,13991889,4770367,to-watch,2018-01-29 06:17:34
2018-08-02 21:19:43,Steven Universe,1,11,13991889,4796466,episode-detail,2018-08-02 21:19:43
2018-08-02 21:19:53,Steven Universe,1,12,13991889,4796468,episode-detail,2018-08-02 21:19:53
2018-08-03 19:18:19,Steven Universe,1,13,13991889,4811303,episode-detail,2018-08-03 19:18:19
2018-08-03 19:18:29,Steven Universe,1,14,13991889,4811304,episode-detail,2018-08-03 19:18:29
2018-08-03 19:18:50,Steven Universe,1,15,13991889,4811305,episode-detail,2018-08-03 19:18:50
2018-08-03 19:19:34,Steven Universe,1,16,13991889,4852044,episode-detail,2018-08-03 19:19:34
2018-08-05 04:41:06,Steven Universe,1,17,13991889,4852045,episode-detail,2018-08-05 04:41:06
2018-08-05 04:41:27,Steven Universe,1,18,13991889,4852046,episode-detail,2018-08-05 04:41:27
2018-08-09 00:15:58,Steven Universe,1,19,13991889,4852047,to-watch,2018-08-09 00:15:58
2018-01-29 19:00:36,Under the Dome,2,2,13991889,4880769,to-watch,2018-01-29 19:00:36
2017-09-15 20:49:07,The 100,2,1,13991889,4887576,to-watch,2017-09-15 20:49:07
2018-01-18 03:38:03,Unbreakable Kimmy Schmidt,1,1,13991889,4893452,season-detail,2018-01-18 03:38:03
2018-01-30 05:56:20,Under the Dome,2,3,13991889,4903557,to-watch,2018-01-30 05:56:20
2018-01-30 05:56:23,Under the Dome,2,4,13991889,4914791,to-watch,2018-01-30 05:56:23
2018-01-31 02:13:46,Under the Dome,2,5,13991889,4914792,to-watch,2018-01-31 02:13:46
2018-02-01 03:52:02,Under the Dome,2,6,13991889,4914793,to-watch,2018-02-01 03:52:02
2018-02-01 03:52:03,Under the Dome,2,7,13991889,4914794,to-watch,2018-02-01 03:52:03
2017-08-12 16:33:06,The Flash (2014),1,2,13991889,4929322,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,3,13991889,4929325,public-api,2017-08-12 16:33:06
2018-02-01 03:52:09,Under the Dome,2,8,13991889,4930995,to-watch,2018-02-01 03:52:09
2018-02-01 03:52:07,Under the Dome,2,9,13991889,4930996,to-watch,2018-02-01 03:52:07
2018-02-01 05:43:49,Under the Dome,2,10,13991889,4936620,to-watch,2018-02-01 05:43:49
2018-02-01 05:43:52,Under the Dome,2,11,13991889,4936625,to-watch,2018-02-01 05:43:52
2018-02-01 06:16:31,Under the Dome,2,12,13991889,4936646,to-watch,2018-02-01 06:16:31
2018-02-01 19:20:24,Under the Dome,2,13,13991889,4936662,to-watch,2018-02-01 19:20:24
2017-08-12 16:33:06,The Flash (2014),1,4,13991889,4936770,public-api,2017-08-12 16:33:06
2017-07-31 04:00:58,Sense8,1,4,13991889,4961784,to-watch,2017-07-31 04:00:58
2018-08-12 02:56:08,Steven Universe,1,27,13991889,5002364,episode-detail,2018-08-12 02:56:08
2018-08-12 02:40:51,Steven Universe,1,28,13991889,5002365,season-detail,2018-08-12 02:40:51
2018-08-12 02:25:59,Steven Universe,1,29,13991889,5012562,season-detail,2018-08-12 02:25:59
2018-08-12 02:10:17,Steven Universe,1,30,13991889,5012563,season-detail,2018-08-12 02:10:17
2018-08-13 22:58:54,Steven Universe,1,31,13991889,5012564,episode-detail,2018-08-13 22:58:54
2017-09-30 04:19:16,The 100,2,2,13991889,5013666,to-watch,2017-09-30 04:19:16
2017-09-30 04:19:18,The 100,2,3,13991889,5018484,to-watch,2017-09-30 04:19:18
2017-08-12 16:33:06,The Flash (2014),1,5,13991889,5025023,public-api,2017-08-12 16:33:06
2017-10-04 21:48:51,The 100,2,4,13991889,5025919,to-watch,2017-10-04 21:48:51
2017-08-12 16:33:06,The Flash (2014),1,6,13991889,5028737,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,7,13991889,5028738,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,8,13991889,5028739,public-api,2017-08-12 16:33:06
2017-10-04 21:48:54,The 100,2,5,13991889,5032892,to-watch,2017-10-04 21:48:54
2018-08-19 01:16:44,Steven Universe,1,32,13991889,5032896,episode-detail,2018-08-19 01:16:44
2018-08-19 01:17:02,Steven Universe,1,33,13991889,5040748,episode-detail,2018-08-19 01:17:02
2018-08-19 01:17:19,Steven Universe,1,34,13991889,5040749,episode-detail,2018-08-19 01:17:19
2017-08-12 16:33:06,The Flash (2014),1,9,13991889,5042818,public-api,2017-08-12 16:33:06
2017-10-04 21:48:57,The 100,2,6,13991889,5044970,to-watch,2017-10-04 21:48:57
2017-10-07 05:44:57,The 100,2,7,13991889,5044972,to-watch,2017-10-07 05:44:57
2017-10-11 09:42:45,The 100,2,8,13991889,5044973,to-watch,2017-10-11 09:42:45
2017-10-11 09:42:54,The 100,2,9,13991889,5045682,to-watch,2017-10-11 09:42:54
2017-08-12 16:33:06,The Flash (2014),1,10,13991889,5052260,public-api,2017-08-12 16:33:06
2018-08-19 01:17:32,Steven Universe,1,35,13991889,5055362,episode-detail,2018-08-19 01:17:32
2017-08-12 16:33:06,The Flash (2014),1,11,13991889,5073549,public-api,2017-08-12 16:33:06
2017-08-12 16:33:06,The Flash (2014),1,12,13991889,5073556,public-api,2017-08-12 16:33:06
2017-10-15 23:32:16,The 100,2,12,13991889,5076965,to-watch,2017-10-15 23:32:16
2017-08-12 16:41:10,Mr. Robot,1,1,13991889,5077068,public-api,2017-08-12 16:41:10
2017-10-16 05:25:40,The 100,2,14,13991889,5077943,to-watch,2017-10-16 05:25:40
2017-10-15 06:27:36,The 100,2,10,13991889,5077983,to-watch,2017-10-15 06:27:36
2017-10-15 06:27:41,The 100,2,11,13991889,5077984,to-watch,2017-10-15 06:27:41
2017-10-15 23:32:18,The 100,2,13,13991889,5077985,to-watch,2017-10-15 23:32:18
2017-08-12 16:39:26,iZombie,1,1,13991889,5077987,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,2,13991889,5077988,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,3,13991889,5077989,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,4,13991889,5077990,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,5,13991889,5077991,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,6,13991889,5077992,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,7,13991889,5077993,public-api,2017-08-12 16:39:26
2017-08-12 16:39:25,iZombie,1,8,13991889,5077994,public-api,2017-08-12 16:39:25
2017-08-12 16:39:25,iZombie,1,9,13991889,5077995,public-api,2017-08-12 16:39:25
2017-08-12 16:39:26,iZombie,1,10,13991889,5077996,public-api,2017-08-12 16:39:26
2017-08-12 16:39:26,iZombie,1,11,13991889,5077997,public-api,2017-08-12 16:39:26
2018-08-19 02:23:57,Steven Universe,1,36,13991889,5078572,to-watch,2018-08-19 02:23:57
2018-08-19 02:54:17,Steven Universe,1,37,13991889,5078573,episode-detail,2018-08-19 02:54:17
2018-08-19 03:15:31,Steven Universe,1,38,13991889,5078574,to-watch,2018-08-19 03:15:31
2018-08-19 03:31:17,Steven Universe,1,39,13991889,5078575,episode-detail,2018-08-19 03:31:17
