tv_show_id,status,created_at,updated_at,tv_show_name,user_id
253463,favorite,2019-06-14 03:55:45,2019-06-14 03:55:45,Black Mirror,13991889
268592,favorite,2019-06-24 01:22:00,2019-06-24 01:22:00,The 100,13991889
279121,favorite,2018-07-13 00:14:41,2018-07-13 00:14:41,The Flash (2014),13991889
295068,favorite,2018-07-13 00:14:25,2018-07-13 00:14:25,Dragon Ball Super,13991889
295760,favorite,2018-07-13 00:14:57,2018-07-13 00:14:57,DC's Legends of Tomorrow,13991889
309130,for_later,2021-04-27 13:55:36,2021-04-27 13:55:36,You Me Her,13991889
328724,favorite,2019-03-24 11:39:10,2019-03-24 11:39:10,Young Sheldon,13991889
346931,for_later,2021-04-27 13:55:17,2021-04-27 13:55:17,Cells at Work!,13991889
364007,for_later,2021-10-07 05:30:39,2021-10-07 05:30:39,Primal,13991889
