episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
16,13991889,5276622,4,2018-09-11 14:09:41,2018-09-11 14:09:41,Steven Universe,2
17,13991889,5276628,1,2018-09-11 14:36:36,2018-09-11 14:36:36,Steven Universe,2
18,13991889,5276631,1,2018-09-20 18:33:27,2018-09-20 18:33:27,Steven Universe,2
19,13991889,5276632,1,2018-09-20 18:33:25,2018-09-20 18:33:25,Steven Universe,2
21,13991889,5276633,4,2018-09-20 18:50:36,2018-09-20 18:50:36,Steven Universe,2
22,13991889,5276634,4,2018-09-20 19:02:13,2018-09-20 19:02:13,Steven Universe,2
23,13991889,5295278,4,2018-09-20 19:27:00,2018-09-20 19:27:00,Steven Universe,2
20,13991889,5295279,4,2018-09-20 18:33:22,2018-09-20 18:33:22,Steven Universe,2
4,13991889,5357869,4,2018-09-04 19:30:05,2018-09-04 19:30:05,Steven Universe,2
14,13991889,5358120,4,2018-09-08 23:41:30,2018-09-08 23:41:30,Steven Universe,2
2,13991889,5359944,4,2018-08-24 22:18:07,2018-08-24 22:18:07,Steven Universe,2
3,13991889,5359992,4,2018-09-04 19:29:55,2018-09-04 19:29:55,Steven Universe,2
7,13991889,5360059,1,2018-09-04 19:43:15,2018-09-04 19:43:15,Steven Universe,2
8,13991889,5360066,1,2018-09-04 19:57:08,2018-09-04 19:57:08,Steven Universe,2
10,13991889,5360125,1,2018-09-04 20:23:39,2018-09-04 20:23:39,Steven Universe,2
11,13991889,5360137,4,2018-09-08 22:53:17,2018-09-08 22:53:17,Steven Universe,2
25,13991889,5363792,4,2018-09-20 19:59:02,2018-09-20 19:59:02,Steven Universe,2
26,13991889,5363793,4,2018-09-20 20:35:57,2018-09-20 20:35:57,Steven Universe,2
1,13991889,5576362,4,2018-09-24 19:01:01,2018-09-24 19:01:01,Steven Universe,3
2,13991889,5576363,4,2018-09-24 19:01:08,2018-09-24 19:01:08,Steven Universe,3
4,13991889,5576364,4,2018-09-24 19:01:11,2018-09-24 19:01:11,Steven Universe,3
3,13991889,5576365,4,2018-09-24 19:01:15,2018-09-24 19:01:15,Steven Universe,3
5,13991889,5576366,1,2018-09-25 04:44:58,2018-09-25 04:44:58,Steven Universe,3
15,13991889,5589671,4,2018-08-25 05:04:24,2018-08-25 05:04:24,The 100,3
16,13991889,5589672,4,2018-08-25 05:04:22,2018-08-25 05:04:22,The 100,3
8,13991889,5665659,4,2018-09-27 03:54:11,2018-09-27 03:54:11,Steven Universe,3
9,13991889,5665660,1,2018-09-27 03:54:07,2018-09-27 03:54:07,Steven Universe,3
10,13991889,5665661,1,2018-09-27 03:54:06,2018-09-27 03:54:06,Steven Universe,3
11,13991889,5671385,1,2018-09-27 03:54:05,2018-09-27 03:54:05,Steven Universe,3
12,13991889,5675057,1,2018-09-27 03:54:04,2018-09-27 03:54:04,Steven Universe,3
13,13991889,5675753,1,2018-09-27 03:54:02,2018-09-27 03:54:02,Steven Universe,3
1,13991889,5682080,4,2020-01-06 03:50:46,2020-01-06 03:50:46,Travelers (2016),1
1,13991889,5700172,4,2018-07-22 06:03:24,2018-07-22 06:03:24,Channel Zero,1
1,13991889,5744700,4,2018-08-25 05:04:21,2018-08-25 05:04:21,The 100,4
27,13991889,5880351,4,2018-05-17 00:44:53,2018-05-17 00:44:53,Dragon Ball Super,4
28,13991889,5880381,4,2018-05-17 00:44:50,2018-05-17 00:44:50,Dragon Ball Super,4
29,13991889,5880397,4,2018-05-17 00:44:41,2018-05-17 00:44:41,Dragon Ball Super,4
30,13991889,5880400,4,2018-05-17 00:44:39,2018-05-17 00:44:39,Dragon Ball Super,4
2,13991889,5904886,4,2018-08-25 05:04:19,2018-08-25 05:04:19,The 100,4
3,13991889,5904887,4,2018-08-25 05:04:17,2018-08-25 05:04:17,The 100,4
4,13991889,5938968,4,2018-08-25 05:04:15,2018-08-25 05:04:15,The 100,4
5,13991889,5939659,4,2018-08-25 05:04:13,2018-08-25 05:04:13,The 100,4
6,13991889,5939660,4,2018-08-25 05:04:11,2018-08-25 05:04:11,The 100,4
7,13991889,5940804,4,2018-08-27 19:50:38,2018-08-27 19:50:38,The 100,4
13,13991889,5940805,4,2018-09-08 14:50:35,2018-09-08 14:50:35,The 100,4
8,13991889,5941009,4,2018-08-31 20:12:19,2018-08-31 20:12:19,The 100,4
11,13991889,5941011,4,2018-09-07 20:50:34,2018-09-07 20:50:34,The 100,4
9,13991889,5941030,4,2018-09-07 20:50:38,2018-09-07 20:50:38,The 100,4
12,13991889,5943802,4,2018-09-07 22:50:58,2018-09-07 22:50:58,The 100,4
10,13991889,5947380,4,2018-09-07 20:50:37,2018-09-07 20:50:37,The 100,4
1,13991889,6016897,4,2018-05-08 18:33:18,2018-05-08 18:33:18,Rick and Morty,3
4,13991889,6058270,4,2018-05-08 18:33:12,2018-05-08 18:33:12,Rick and Morty,3
3,13991889,6074061,4,2018-05-08 18:33:14,2018-05-08 18:33:14,Rick and Morty,3
2,13991889,6111227,4,2018-05-08 18:33:17,2018-05-08 18:33:17,Rick and Morty,3
1,13991889,6213689,3,2018-07-29 19:41:44,2018-07-29 19:41:44,Krypton,1
1,13991889,6218771,4,2018-07-27 19:38:35,2018-07-27 19:38:35,Final Space,1
5,13991889,6231154,4,2018-05-08 18:33:11,2018-05-08 18:33:11,Rick and Morty,3
6,13991889,6231155,4,2018-05-08 18:33:09,2018-05-08 18:33:09,Rick and Morty,3
29,13991889,6241912,4,2018-07-02 20:03:42,2018-07-02 20:03:42,Dragon Ball Super,5
1,13991889,6279753,4,2018-07-16 03:57:17,2018-07-16 03:57:17,Happy!,1
8,13991889,6288260,4,2018-05-08 18:33:02,2018-05-08 18:33:02,Rick and Morty,3
2,13991889,6299661,4,2018-07-29 21:31:44,2018-07-29 21:31:44,Krypton,1
3,13991889,6299662,4,2018-08-19 17:33:20,2018-08-19 17:33:20,Krypton,1
4,13991889,6299664,4,2018-08-22 20:18:01,2018-08-22 20:18:01,Krypton,1
1,13991889,6304546,4,2020-01-02 06:08:06,2020-01-02 06:08:06,The Alienist,1
2,13991889,6374933,4,2018-07-16 03:57:02,2018-07-16 03:57:02,Happy!,1
8,13991889,6379885,4,2019-11-06 06:45:52,2019-11-06 06:45:52,The End of the F***ing World,1
3,13991889,6411823,4,2018-07-17 02:17:28,2018-07-17 02:17:28,Happy!,1
4,13991889,6411824,4,2018-07-17 02:17:36,2018-07-17 02:17:36,Happy!,1
5,13991889,6496773,4,2018-09-09 23:45:32,2018-09-09 23:45:32,Krypton,1
6,13991889,6496774,4,2018-09-10 02:18:14,2018-09-10 02:18:14,Krypton,1
7,13991889,6496776,4,2018-09-11 18:01:44,2018-09-11 18:01:44,Krypton,1
8,13991889,6496777,4,2018-09-11 18:01:33,2018-09-11 18:01:33,Krypton,1
1,13991889,6532980,4,2018-08-07 05:34:34,2018-08-07 05:34:34,3%,2
2,13991889,6537947,4,2018-07-29 01:02:10,2018-07-29 01:02:10,Final Space,1
36,13991889,6547749,4,2019-10-01 03:40:03,2019-10-01 03:40:03,Star vs. the Forces of Evil,3
37,13991889,6547760,4,2019-10-01 03:39:19,2019-10-01 03:39:19,Star vs. the Forces of Evil,3
38,13991889,6547773,4,2019-10-01 03:38:46,2019-10-01 03:38:46,Star vs. the Forces of Evil,3
3,13991889,6563912,4,2018-07-29 01:01:06,2018-07-29 01:01:06,Final Space,1
4,13991889,6563913,4,2018-07-29 01:01:45,2018-07-29 01:01:45,Final Space,1
5,13991889,6563915,4,2018-07-29 01:01:29,2018-07-29 01:01:29,Final Space,1
6,13991889,6563916,4,2018-07-29 01:01:21,2018-07-29 01:01:21,Final Space,1
7,13991889,6580217,4,2018-07-29 01:54:16,2018-07-29 01:54:16,Final Space,1
8,13991889,6580218,4,2018-07-29 04:12:32,2018-07-29 04:12:32,Final Space,1
9,13991889,6580219,4,2018-07-29 04:13:03,2018-07-29 04:13:03,Final Space,1
10,13991889,6580220,4,2018-07-29 04:42:05,2018-07-29 04:42:05,Final Space,1
1,13991889,6601824,4,2019-11-05 05:09:53,2019-11-05 05:09:53,Titans (2018),1
1,13991889,6606162,4,2019-10-01 03:38:35,2019-10-01 03:38:35,Star vs. the Forces of Evil,4
2,13991889,6608628,4,2018-08-07 05:34:52,2018-08-07 05:34:52,3%,2
3,13991889,6608631,4,2018-08-12 05:14:11,2018-08-12 05:14:11,3%,2
4,13991889,6608637,4,2018-08-12 05:13:58,2018-08-12 05:13:58,3%,2
5,13991889,6608642,4,2018-08-12 05:13:48,2018-08-12 05:13:48,3%,2
6,13991889,6608646,4,2018-08-12 05:13:41,2018-08-12 05:13:41,3%,2
7,13991889,6608649,4,2018-08-12 19:37:03,2018-08-12 19:37:03,3%,2
8,13991889,6608651,4,2018-08-14 21:48:17,2018-08-14 21:48:17,3%,2
9,13991889,6614015,4,2018-09-11 20:08:19,2018-09-11 20:08:19,Krypton,1
13,13991889,6619954,1,2019-10-15 16:57:02,2019-10-15 16:57:02,iZombie,4
23,13991889,6622395,4,2018-07-23 00:43:31,2018-07-23 00:43:31,The Flash (2014),4
9,13991889,6643770,4,2018-08-14 21:48:08,2018-08-14 21:48:08,3%,2
10,13991889,6643773,4,2018-08-15 01:40:14,2018-08-15 01:40:14,3%,2
12,13991889,6663646,4,2018-06-10 05:29:48,2018-06-10 05:29:48,Sense8,2
2,13991889,6667862,4,2023-04-20 20:52:53,2023-04-20 20:52:53,Attack on Titan,3
8,13991889,6671804,4,2018-11-25 19:46:57,2018-11-25 19:46:57,Elite,1
2,13991889,6692766,1,2018-07-17 03:00:08,2018-07-17 03:00:08,Super Dragon Ball Heroes,1
1,13991889,6699345,4,2018-08-17 19:47:38,2018-08-17 19:47:38,Disenchantment,1
2,13991889,6699487,4,2018-08-17 20:42:47,2018-08-17 20:42:47,Disenchantment,1
3,13991889,6699488,4,2018-08-18 04:45:17,2018-08-18 04:45:17,Disenchantment,1
4,13991889,6699489,4,2018-08-18 14:40:14,2018-08-18 14:40:14,Disenchantment,1
5,13991889,6699490,1,2018-08-18 14:40:27,2018-08-18 14:40:27,Disenchantment,1
6,13991889,6699491,1,2018-08-18 15:15:25,2018-08-18 15:15:25,Disenchantment,1
7,13991889,6699493,4,2018-08-18 21:39:35,2018-08-18 21:39:35,Disenchantment,1
8,13991889,6699494,4,2018-08-18 21:40:04,2018-08-18 21:40:04,Disenchantment,1
9,13991889,6699495,4,2018-08-19 00:00:48,2018-08-19 00:00:48,Disenchantment,1
10,13991889,6699496,4,2018-08-19 02:24:21,2018-08-19 02:24:21,Disenchantment,1
1,13991889,6733442,4,2018-11-03 02:49:35,2018-11-03 02:49:35,Black Lightning,2
2,13991889,6753772,1,2018-11-03 02:49:26,2018-11-03 02:49:26,Black Lightning,2
3,13991889,6753773,1,2018-11-03 02:49:14,2018-11-03 02:49:14,Black Lightning,2
3,13991889,6757077,4,2022-04-30 18:27:29,2022-04-30 18:27:29,Better Call Saul,4
3,13991889,6764190,1,2018-09-08 21:52:36,2018-09-08 21:52:36,Super Dragon Ball Heroes,1
1,13991889,6771499,4,2018-09-08 20:59:48,2018-09-08 20:59:48,Paradise PD,1
7,13991889,6782558,4,2022-04-30 18:27:02,2022-04-30 18:27:02,Better Call Saul,4
8,13991889,6783470,4,2022-04-30 18:26:55,2022-04-30 18:26:55,Better Call Saul,4
9,13991889,6783471,4,2022-04-30 18:26:51,2022-04-30 18:26:51,Better Call Saul,4
4,13991889,6790744,1,2018-11-15 00:07:27,2018-11-15 00:07:27,DC's Legends of Tomorrow,4
3,13991889,6794675,4,2018-11-07 02:44:18,2018-11-07 02:44:18,The Flash (2014),5
4,13991889,6794677,4,2018-11-07 20:23:20,2018-11-07 20:23:20,The Flash (2014),5
5,13991889,6794679,4,2018-11-15 09:46:01,2018-11-15 09:46:01,The Flash (2014),5
2,13991889,6800815,4,2018-09-08 21:52:17,2018-09-08 21:52:17,Paradise PD,1
3,13991889,6800817,4,2018-09-18 21:41:44,2018-09-18 21:41:44,Paradise PD,1
4,13991889,6800818,4,2018-09-18 21:41:56,2018-09-18 21:41:56,Paradise PD,1
5,13991889,6800820,4,2018-09-18 21:41:57,2018-09-18 21:41:57,Paradise PD,1
6,13991889,6800821,4,2018-09-18 21:41:59,2018-09-18 21:41:59,Paradise PD,1
7,13991889,6800823,4,2018-09-18 21:42:03,2018-09-18 21:42:03,Paradise PD,1
8,13991889,6800825,4,2018-09-26 22:32:12,2018-09-26 22:32:12,Paradise PD,1
9,13991889,6800828,4,2018-09-26 22:32:04,2018-09-26 22:32:04,Paradise PD,1
10,13991889,6800831,4,2018-09-26 22:31:54,2018-09-26 22:31:54,Paradise PD,1
1,13991889,6814864,1,2019-10-15 16:57:05,2019-10-15 16:57:05,iZombie,5
2,13991889,6814866,1,2019-10-15 23:30:37,2019-10-15 23:30:37,iZombie,5
3,13991889,6814868,4,2019-10-16 02:29:08,2019-10-16 02:29:08,iZombie,5
8,13991889,6885898,4,2018-12-05 19:43:28,2018-12-05 19:43:28,The Flash (2014),5
2,13991889,6894195,1,2019-03-07 21:24:51,2019-03-07 21:24:51,Narcos: Mexico,1
8,13991889,7044955,4,2019-10-02 04:24:20,2019-10-02 04:24:20,Star vs. the Forces of Evil,4
9,13991889,7044957,4,2019-10-02 04:24:36,2019-10-02 04:24:36,Star vs. the Forces of Evil,4
10,13991889,7044961,4,2019-10-02 04:24:45,2019-10-02 04:24:45,Star vs. the Forces of Evil,4
12,13991889,7044964,4,2019-10-02 23:57:02,2019-10-02 23:57:02,Star vs. the Forces of Evil,4
13,13991889,7044966,4,2019-10-02 23:57:08,2019-10-02 23:57:08,Star vs. the Forces of Evil,4
17,13991889,7085504,1,2019-03-21 23:13:26,2019-03-21 23:13:26,The Flash (2014),5
14,13991889,7113115,4,2019-10-02 23:57:21,2019-10-02 23:57:21,Star vs. the Forces of Evil,4
21,13991889,7113128,4,2019-10-02 23:57:36,2019-10-02 23:57:36,Star vs. the Forces of Evil,4
27,13991889,7113166,4,2019-10-03 01:59:40,2019-10-03 01:59:40,Star vs. the Forces of Evil,4
28,13991889,7113171,4,2019-10-03 01:59:39,2019-10-03 01:59:39,Star vs. the Forces of Evil,4
31,13991889,7118396,4,2019-10-04 18:28:19,2019-10-04 18:28:19,Star vs. the Forces of Evil,4
32,13991889,7118398,4,2019-10-04 18:28:05,2019-10-04 18:28:05,Star vs. the Forces of Evil,4
33,13991889,7118400,4,2019-10-04 18:26:51,2019-10-04 18:26:51,Star vs. the Forces of Evil,4
34,13991889,7118401,4,2019-10-04 18:27:06,2019-10-04 18:27:06,Star vs. the Forces of Evil,4
35,13991889,7118402,4,2019-10-04 19:15:49,2019-10-04 19:15:49,Star vs. the Forces of Evil,4
36,13991889,7118403,4,2019-10-04 19:16:03,2019-10-04 19:16:03,Star vs. the Forces of Evil,4
37,13991889,7118404,4,2019-10-04 19:16:10,2019-10-04 19:16:10,Star vs. the Forces of Evil,4
21,13991889,7145066,1,2019-05-11 03:46:16,2019-05-11 03:46:16,The Flash (2014),5
21,13991889,7152841,4,2019-06-19 16:09:08,2019-06-19 16:09:08,Young Sheldon,2
22,13991889,7159480,1,2019-05-15 17:05:21,2019-05-15 17:05:21,The Flash (2014),5
1,13991889,7171864,4,2019-10-30 19:40:33,2019-10-30 19:40:33,The Rook,1
4,13991889,7187608,4,2019-10-16 02:29:21,2019-10-16 02:29:21,iZombie,5
5,13991889,7187610,4,2019-10-16 03:26:39,2019-10-16 03:26:39,iZombie,5
19,13991889,7187966,4,2019-09-23 14:40:22,2019-09-23 14:40:22,Disenchantment,1
2,13991889,7201770,4,2019-10-30 19:40:41,2019-10-30 19:40:41,The Rook,1
3,13991889,7201771,4,2019-10-30 19:40:51,2019-10-30 19:40:51,The Rook,1
4,13991889,7201772,4,2019-10-30 19:40:57,2019-10-30 19:40:57,The Rook,1
6,13991889,7213811,4,2019-10-20 03:37:09,2019-10-20 03:37:09,iZombie,5
7,13991889,7213812,4,2019-10-20 03:37:07,2019-10-20 03:37:07,iZombie,5
5,13991889,7214387,4,2019-10-30 19:41:03,2019-10-30 19:41:03,The Rook,1
6,13991889,7225057,4,2019-10-31 05:03:49,2019-10-31 05:03:49,The Rook,1
8,13991889,7233272,4,2019-10-20 03:37:05,2019-10-20 03:37:05,iZombie,5
9,13991889,7233275,4,2019-10-20 03:37:03,2019-10-20 03:37:03,iZombie,5
1,13991889,7240965,4,2019-12-12 05:47:50,2019-12-12 05:47:50,Batwoman,1
1,13991889,7240976,4,2019-10-27 20:10:52,2019-10-27 20:10:52,Black Lightning,3
10,13991889,7253908,1,2019-10-20 03:36:56,2019-10-20 03:36:56,iZombie,5
11,13991889,7253909,4,2019-10-20 06:00:11,2019-10-20 06:00:11,iZombie,5
8,13991889,7267919,4,2019-11-01 00:27:11,2019-11-01 00:27:11,The Rook,1
7,13991889,7267920,4,2019-11-01 00:26:48,2019-11-01 00:26:48,The Rook,1
12,13991889,7273123,4,2019-10-20 06:00:33,2019-10-20 06:00:33,iZombie,5
13,13991889,7276490,4,2019-10-20 06:00:18,2019-10-20 06:00:18,iZombie,5
1,13991889,7325062,1,2019-11-01 20:29:47,2019-11-01 20:29:47,Silicon Valley,6
1,13991889,7337251,4,2019-10-16 00:34:29,2019-10-16 00:34:29,Mr. Robot,4
2,13991889,7337804,4,2019-12-12 05:48:03,2019-12-12 05:48:03,Batwoman,1
4,13991889,7337807,4,2019-12-12 05:48:24,2019-12-12 05:48:24,Batwoman,1
2,13991889,7337996,4,2019-10-16 20:14:39,2019-10-16 20:14:39,The Flash (2014),6
5,13991889,7365509,4,2019-12-12 05:48:35,2019-12-12 05:48:35,Batwoman,1
6,13991889,7365510,4,2019-12-12 05:48:52,2019-12-12 05:48:52,Batwoman,1
7,13991889,7365511,4,2019-12-12 05:49:00,2019-12-12 05:49:00,Batwoman,1
3,13991889,7365512,4,2019-11-07 00:20:07,2019-11-07 00:20:07,The Flash (2014),6
4,13991889,7365513,4,2019-11-07 00:20:16,2019-11-07 00:20:16,The Flash (2014),6
5,13991889,7365514,4,2019-11-07 00:20:51,2019-11-07 00:20:51,The Flash (2014),6
6,13991889,7365515,4,2020-02-14 04:37:05,2020-02-14 04:37:05,The Flash (2014),6
7,13991889,7365516,4,2020-02-14 04:37:11,2020-02-14 04:37:11,The Flash (2014),6
3,13991889,7374309,4,2019-10-13 06:04:53,2019-10-13 06:04:53,Young Sheldon,3
1,13991889,7382468,4,2019-11-02 07:04:17,2019-11-02 07:04:17,Atypical,3
2,13991889,7388319,4,2019-10-24 21:14:38,2019-10-24 21:14:38,Mr. Robot,4
3,13991889,7388320,4,2019-10-30 02:58:38,2019-10-30 02:58:38,Mr. Robot,4
2,13991889,7389443,1,2019-10-22 00:14:09,2019-10-22 00:14:09,Black Lightning,3
3,13991889,7389449,1,2019-10-27 20:10:39,2019-10-27 20:10:39,Black Lightning,3
3,13991889,7394631,4,2019-12-12 05:48:16,2019-12-12 05:48:16,Batwoman,1
1,13991889,7395719,4,2019-11-06 04:47:55,2019-11-06 04:47:55,The End of the F***ing World,2
2,13991889,7395725,4,2019-11-06 04:48:13,2019-11-06 04:48:13,The End of the F***ing World,2
3,13991889,7395727,4,2019-11-06 05:30:05,2019-11-06 05:30:05,The End of the F***ing World,2
4,13991889,7395728,4,2019-11-06 05:30:20,2019-11-06 05:30:20,The End of the F***ing World,2
5,13991889,7395729,4,2019-11-06 06:45:27,2019-11-06 06:45:27,The End of the F***ing World,2
6,13991889,7395732,4,2019-11-06 06:45:32,2019-11-06 06:45:32,The End of the F***ing World,2
7,13991889,7395733,4,2019-11-06 08:01:31,2019-11-06 08:01:31,The End of the F***ing World,2
8,13991889,7395734,4,2019-11-06 08:01:50,2019-11-06 08:01:50,The End of the F***ing World,2
8,13991889,7395755,4,2019-12-12 05:49:14,2019-12-12 05:49:14,Batwoman,1
9,13991889,7395761,4,2020-02-24 04:50:57,2020-02-24 04:50:57,Batwoman,1
4,13991889,7405318,4,2019-10-30 02:58:51,2019-10-30 02:58:51,Mr. Robot,4
5,13991889,7410970,4,2019-11-09 05:12:55,2019-11-09 05:12:55,Young Sheldon,3
6,13991889,7410971,4,2019-11-09 05:12:45,2019-11-09 05:12:45,Young Sheldon,3
2,13991889,7416268,4,2019-11-06 22:49:52,2019-11-06 22:49:52,Atypical,3
3,13991889,7416269,4,2019-11-07 06:16:59,2019-11-07 06:16:59,Atypical,3
4,13991889,7416270,4,2019-11-07 06:17:02,2019-11-07 06:17:02,Atypical,3
5,13991889,7416272,4,2019-11-07 07:03:26,2019-11-07 07:03:26,Atypical,3
6,13991889,7416273,4,2019-11-08 05:29:20,2019-11-08 05:29:20,Atypical,3
7,13991889,7416274,4,2019-11-08 05:29:40,2019-11-08 05:29:40,Atypical,3
8,13991889,7416275,4,2019-11-08 05:29:54,2019-11-08 05:29:54,Atypical,3
9,13991889,7416276,4,2019-11-08 06:09:48,2019-11-08 06:09:48,Atypical,3
10,13991889,7416277,4,2019-11-08 06:39:23,2019-11-08 06:39:23,Atypical,3
1,13991889,7428555,1,2019-12-30 18:17:44,2019-12-30 18:17:44,The Witcher,1
9,13991889,7430115,4,2019-12-09 05:51:32,2019-12-09 05:51:32,Supergirl,5
8,13991889,7437752,4,2020-02-14 04:37:21,2020-02-14 04:37:21,The Flash (2014),6
