user_id,episode_id,uuid,vote_key,series_name,season_number,episode_number
13991889,7337996,bd4fd1cc-f980-454f-be69-c061282db4f6,7337996-13991889-30,The Flash (2014),6,2
13991889,7337996,bd4fd1cc-f980-454f-be69-c061282db4f6,7337996-13991889-19,The Flash (2014),6,2
13991889,7365511,4ad790d4-1787-41d3-bfb7-477c7aade2fd,7365511-13991889-38,Batwoman,1,7
13991889,7365511,4ad790d4-1787-41d3-bfb7-477c7aade2fd,7365511-13991889-28,Batwoman,1,7
13991889,7365511,4ad790d4-1787-41d3-bfb7-477c7aade2fd,7365511-13991889-19,Batwoman,1,7
13991889,7365513,d9bfccfc-d763-4726-b524-c0542eaa3877,7365513-13991889-18,The Flash (2014),6,4
13991889,7365513,d9bfccfc-d763-4726-b524-c0542eaa3877,7365513-13991889-28,The Flash (2014),6,4
13991889,7365516,ffb37683-ad43-4d9b-a09f-1b93d5e6e01c,7365516-13991889-28,The Flash (2014),6,7
13991889,7365516,ffb37683-ad43-4d9b-a09f-1b93d5e6e01c,7365516-13991889-18,The Flash (2014),6,7
13991889,7374309,7a9b6d8c-baba-44c8-8049-9e76291f7bf4,7374309-13991889-13,Young Sheldon,3,3
13991889,7388320,908bceed-91f0-4dcb-a4a4-a76532898ca4,7388320-13991889-14,Mr. Robot,4,3
13991889,7389443,c6729a03-9d06-4bf3-8608-3a4a17261dbf,7389443-13991889-28,Black Lightning,3,2
13991889,7389443,c6729a03-9d06-4bf3-8608-3a4a17261dbf,7389443-13991889-18,Black Lightning,3,2
13991889,7394631,718f7d55-d766-44f3-93bc-e1ed56e0914d,7394631-13991889-19,Batwoman,1,3
13991889,7395729,2afd709c-9370-481f-9869-b82dcf6bdcb8,7395729-13991889-19,The End of the F***ing World,2,5
13991889,7395732,b2060aa6-42f6-4a04-b55f-2b03b476ae04,7395732-13991889-30,The End of the F***ing World,2,6
13991889,7395734,95f322a7-5ef9-432e-a32d-8736e47dccf3,7395734-13991889-28,The End of the F***ing World,2,8
13991889,7395761,6b3c7184-32c1-44da-87f0-487b06e0a0a7,7395761-13991889-28,Batwoman,1,9
13991889,7405318,8860c2b3-d361-4022-8778-295a902b4be0,7405318-13991889-28,Mr. Robot,4,4
13991889,7405318,8860c2b3-d361-4022-8778-295a902b4be0,7405318-13991889-38,Mr. Robot,4,4
13991889,7416268,682eed55-56e9-424a-b0d1-98319c0134fa,7416268-13991889-28,Atypical,3,2
13991889,7416268,682eed55-56e9-424a-b0d1-98319c0134fa,7416268-13991889-30,Atypical,3,2
13991889,7416269,74b179d6-9e31-4b5c-86fe-9735153fa67a,7416269-13991889-19,Atypical,3,3
13991889,7416270,931cf1c7-cc7c-4c6b-933c-c8d9963913c1,7416270-13991889-19,Atypical,3,4
13991889,7416270,931cf1c7-cc7c-4c6b-933c-c8d9963913c1,7416270-13991889-18,Atypical,3,4
13991889,7416270,931cf1c7-cc7c-4c6b-933c-c8d9963913c1,7416270-13991889-13,Atypical,3,4
13991889,7416272,50b9dfe7-7a8c-4070-8a01-74d8a1f1e2e2,7416272-13991889-18,Atypical,3,5
13991889,7416272,50b9dfe7-7a8c-4070-8a01-74d8a1f1e2e2,7416272-13991889-28,Atypical,3,5
13991889,7416272,50b9dfe7-7a8c-4070-8a01-74d8a1f1e2e2,7416272-13991889-13,Atypical,3,5
13991889,7416272,50b9dfe7-7a8c-4070-8a01-74d8a1f1e2e2,7416272-13991889-19,Atypical,3,5
13991889,7428555,9e1076f5-2a3f-4093-bba5-d97dac11076c,7428555-13991889-28,The Witcher,1,1
13991889,7428555,9e1076f5-2a3f-4093-bba5-d97dac11076c,7428555-13991889-38,The Witcher,1,1
13991889,7430115,b905db93-3cc6-4811-9ab2-759b79d545af,7430115-13991889-28,Supergirl,5,9
13991889,7437752,72fb0365-2418-4558-a00c-5f094ca8bb5d,7437752-13991889-28,The Flash (2014),6,8
13991889,7437754,75c40555-a649-43bd-8f02-2864e9c5e9ad,7437754-13991889-18,The Flash (2014),6,9
13991889,7437754,75c40555-a649-43bd-8f02-2864e9c5e9ad,7437754-13991889-19,The Flash (2014),6,9
13991889,7437754,75c40555-a649-43bd-8f02-2864e9c5e9ad,7437754-13991889-13,The Flash (2014),6,9
13991889,7477619,3c49199a-0e44-4024-8309-d25df1797587,7477619-13991889-19,The Flash (2014),6,10
13991889,7477619,3c49199a-0e44-4024-8309-d25df1797587,7477619-13991889-13,The Flash (2014),6,10
13991889,7477620,d4803f56-40e5-44f4-97da-605885532f38,7477620-13991889-35,The Flash (2014),6,11
