movie_name,uuid,user_id,episode_id,vote_key
Coraline,aa72ab5f-74ee-4eba-8aba-217e2c22ff9b,13991889,0,aa72ab5f-74ee-4eba-8aba-217e2c22ff9b-13991889-39
Death at a Funeral,e3ae9a97-fdf0-44cf-b941-5b7a441fb23b,13991889,0,e3ae9a97-fdf0-44cf-b941-5b7a441fb23b-13991889-13
Спутник,f084d17f-34c2-4e5e-a8db-e7c995c438d0,13991889,0,f084d17f-34c2-4e5e-a8db-e7c995c438d0-13991889-33
Gran Turismo,55e0f002-e606-4b74-8caf-ae70138a6bb0,13991889,0,55e0f002-e606-4b74-8caf-ae70138a6bb0-13991889-32
悟空外伝！勇気の証しは四星球,8a34831a-3e1e-4423-b3d8-099756ad4cb1,13991889,0,8a34831a-3e1e-4423-b3d8-099756ad4cb1-13991889-30
The Beanie Bubble,362ba83b-37da-45b8-b597-0816b2b02d3c,13991889,0,362ba83b-37da-45b8-b597-0816b2b02d3c-13991889-37
Flatliners,48cb4a00-f2a6-4965-bb34-fca47a3d8193,13991889,0,48cb4a00-f2a6-4965-bb34-fca47a3d8193-13991889-18
It: Chapter Two,99d8c03e-6d00-4b6f-8a2b-a2374c70a0dc,13991889,0,99d8c03e-6d00-4b6f-8a2b-a2374c70a0dc-13991889-35
僕のヒーローアカデミア THE MOVIE ～2人の英雄～,8b817b98-e287-4994-9caf-88a44592c6b8,13991889,0,8b817b98-e287-4994-9caf-88a44592c6b8-13991889-28
Inside Out 2,bb52ce42-a7e5-482c-8127-8a53283965ac,13991889,0,bb52ce42-a7e5-482c-8127-8a53283965ac-13991889-32
"Ich seh, Ich seh",08d3af1d-54fa-4646-9405-7ba9511a9bbe,13991889,0,08d3af1d-54fa-4646-9405-7ba9511a9bbe-13991889-31
Black Mirror: Bandersnatch,f10ef4a2-73e0-49e9-9df7-9332a2985a79,13991889,0,f10ef4a2-73e0-49e9-9df7-9332a2985a79-13991889-28
"Yo, Adolescente",9ded12df-1920-4338-80d8-fda905574f96,13991889,0,9ded12df-1920-4338-80d8-fda905574f96-13991889-15
It: Chapter Two,99d8c03e-6d00-4b6f-8a2b-a2374c70a0dc,13991889,0,99d8c03e-6d00-4b6f-8a2b-a2374c70a0dc-13991889-20
,474257f3-9239-4375-b645-a8bc2aebc6cb,13991889,0,474257f3-9239-4375-b645-a8bc2aebc6cb-13991889-18
Unfrosted: The Pop-Tart Story,56a7695e-8b9e-4cf5-858f-7d8c73a5c673,13991889,0,56a7695e-8b9e-4cf5-858f-7d8c73a5c673-13991889-33
Eternals,367e1269-4e8e-4e79-80a0-5246091803cf,13991889,0,367e1269-4e8e-4e79-80a0-5246091803cf-13991889-28
Ford v Ferrari,ec7e56de-b756-4691-908c-e5f994ec6a8b,13991889,0,ec7e56de-b756-4691-908c-e5f994ec6a8b-13991889-19
Death at a Funeral,e3ae9a97-fdf0-44cf-b941-5b7a441fb23b,13991889,0,e3ae9a97-fdf0-44cf-b941-5b7a441fb23b-13991889-19
The Substance,368ab60c-7c64-4d99-86a0-d82ea1a99546,13991889,0,368ab60c-7c64-4d99-86a0-d82ea1a99546-13991889-28
A Quiet Place Part II,fb7709c5-f9c9-4838-8970-3c4b517989cb,13991889,0,fb7709c5-f9c9-4838-8970-3c4b517989cb-13991889-34
Insidious: The Red Door,94d3fa95-f83d-42ad-ba65-06bfa022feb0,13991889,0,94d3fa95-f83d-42ad-ba65-06bfa022feb0-13991889-28
Queenpins,d9a4f296-56e9-4286-b038-b8e81cc01a8e,13991889,0,d9a4f296-56e9-4286-b038-b8e81cc01a8e-13991889-34
