user_id,source,name,value,created_at,updated_at,id
13991889,AppsFlyer,is_organic,1,2019-01-26 07:54:10,2019-01-26 07:54:10,69530595
13991889,AppsFlyer,af_status,Organic,2019-01-26 07:54:10,2019-01-26 07:54:10,69530596
13991889,AppsFlyer,af_message,organic install,2019-01-26 07:54:10,2019-01-26 07:54:10,69530597
13991889,AppsFlyer,is_organic,1,2017-07-20 18:29:23,2017-07-20 18:29:23,71057160
13991889,AppsFlyer,af_status,Organic,2017-07-20 18:29:23,2017-07-20 18:29:23,71057161
13991889,AppsFlyer,af_message,organic install,2017-07-20 18:29:23,2017-07-20 18:29:23,71057162
13991889,AppsFlyer,is_organic,1,2017-07-31 04:00:52,2017-07-31 04:00:52,71196399
13991889,AppsFlyer,af_status,Organic,2017-07-31 04:00:52,2017-07-31 04:00:52,71196400
13991889,AppsFlyer,af_message,organic install,2017-07-31 04:00:52,2017-07-31 04:00:52,71196401
13991889,AppsFlyer,is_organic,1,2017-09-11 19:41:13,2017-09-11 19:41:13,72920257
13991889,AppsFlyer,af_status,Organic,2017-09-11 19:41:13,2017-09-11 19:41:13,72920258
13991889,AppsFlyer,af_message,organic install,2017-09-11 19:41:13,2017-09-11 19:41:13,72920259
13991889,AppsFlyer,is_organic,1,2017-10-04 17:31:22,2017-10-04 17:31:22,73232238
13991889,AppsFlyer,af_status,Organic,2017-10-04 17:31:22,2017-10-04 17:31:22,73232239
13991889,AppsFlyer,af_message,organic install,2017-10-04 17:31:22,2017-10-04 17:31:22,73232240
13991889,AppsFlyer,is_organic,1,2017-10-22 01:32:05,2017-10-22 01:32:05,73477058
13991889,AppsFlyer,af_status,Organic,2017-10-22 01:32:05,2017-10-22 01:32:05,73477059
13991889,AppsFlyer,af_message,organic install,2017-10-22 01:32:05,2017-10-22 01:32:05,73477060
13991889,AppsFlyer,is_organic,1,2017-10-28 16:20:56,2017-10-28 16:20:56,73567068
13991889,AppsFlyer,af_status,Organic,2017-10-28 16:20:56,2017-10-28 16:20:56,73567069
13991889,AppsFlyer,af_message,organic install,2017-10-28 16:20:56,2017-10-28 16:20:56,73567070
13991889,AppsFlyer,is_organic,1,2017-11-28 20:59:39,2017-11-28 20:59:39,73986793
13991889,AppsFlyer,af_status,Organic,2017-11-28 20:59:39,2017-11-28 20:59:39,73986794
13991889,AppsFlyer,af_message,organic install,2017-11-28 20:59:39,2017-11-28 20:59:39,73986795
13991889,AppsFlyer,is_organic,1,2018-02-03 23:53:58,2018-02-03 23:53:58,75018092
13991889,AppsFlyer,af_status,Organic,2018-02-03 23:53:58,2018-02-03 23:53:58,75018093
13991889,AppsFlyer,af_message,organic install,2018-02-03 23:53:58,2018-02-03 23:53:58,75018094
13991889,AppsFlyer,is_organic,1,2018-02-04 00:17:40,2018-02-04 00:17:40,75018385
13991889,AppsFlyer,af_status,Organic,2018-02-04 00:17:40,2018-02-04 00:17:40,75018386
13991889,AppsFlyer,af_message,organic install,2018-02-04 00:17:40,2018-02-04 00:17:40,75018387
13991889,AppsFlyer,is_organic,1,2019-05-02 14:25:01,2019-05-02 14:25:01,85621447
13991889,AppsFlyer,af_status,Organic,2019-05-02 14:25:01,2019-05-02 14:25:01,85621448
13991889,AppsFlyer,af_message,organic install,2019-05-02 14:25:01,2019-05-02 14:25:01,85621449
13991889,AppsFlyer,is_organic,1,2019-09-26 19:38:14,2019-09-26 19:38:14,101606703
13991889,AppsFlyer,af_status,Organic,2019-09-26 19:38:14,2019-09-26 19:38:14,101606704
13991889,AppsFlyer,af_message,organic install,2019-09-26 19:38:14,2019-09-26 19:38:14,101606705
13991889,AppsFlyer,is_organic,1,2019-09-30 05:26:45,2019-09-30 05:26:45,101920036
13991889,AppsFlyer,af_status,Organic,2019-09-30 05:26:45,2019-09-30 05:26:45,101920037
13991889,AppsFlyer,af_message,organic install,2019-09-30 05:26:45,2019-09-30 05:26:45,101920038
13991889,AppsFlyer,is_organic,1,2019-10-02 03:03:54,2019-10-02 03:03:54,102075882
13991889,AppsFlyer,af_status,Organic,2019-10-02 03:03:54,2019-10-02 03:03:54,102075883
13991889,AppsFlyer,af_message,organic install,2019-10-02 03:03:54,2019-10-02 03:03:54,102075884
13991889,AppsFlyer,is_organic,1,2019-10-02 18:39:01,2019-10-02 18:39:01,102115486
13991889,AppsFlyer,af_status,Organic,2019-10-02 18:39:01,2019-10-02 18:39:01,102115487
13991889,AppsFlyer,af_message,organic install,2019-10-02 18:39:01,2019-10-02 18:39:01,102115488
13991889,AppsFlyer,is_organic,1,2019-10-04 23:46:04,2019-10-04 23:46:04,102325265
13991889,AppsFlyer,af_status,Organic,2019-10-04 23:46:04,2019-10-04 23:46:04,102325266
13991889,AppsFlyer,af_message,organic install,2019-10-04 23:46:04,2019-10-04 23:46:04,102325267
13991889,AppsFlyer,is_organic,1,2019-10-05 05:16:53,2019-10-05 05:16:53,102357628
13991889,AppsFlyer,af_status,Organic,2019-10-05 05:16:53,2019-10-05 05:16:53,102357629
13991889,AppsFlyer,af_message,organic install,2019-10-05 05:16:53,2019-10-05 05:16:53,102357630
13991889,AppsFlyer,is_organic,1,2019-10-11 16:11:40,2019-10-11 16:11:40,102936736
13991889,AppsFlyer,af_status,Organic,2019-10-11 16:11:40,2019-10-11 16:11:40,102936737
13991889,AppsFlyer,af_message,organic install,2019-10-11 16:11:40,2019-10-11 16:11:40,102936738
13991889,AppsFlyer,is_organic,1,2019-10-18 04:15:24,2019-10-18 04:15:24,103448744
13991889,AppsFlyer,af_status,Organic,2019-10-18 04:15:24,2019-10-18 04:15:24,103448745
13991889,AppsFlyer,af_message,organic install,2019-10-18 04:15:24,2019-10-18 04:15:24,103448746
13991889,AppsFlyer,is_organic,1,2019-11-11 06:07:45,2019-11-11 06:07:45,105327098
13991889,AppsFlyer,af_status,Organic,2019-11-11 06:07:45,2019-11-11 06:07:45,105327099
13991889,AppsFlyer,af_message,organic install,2019-11-11 06:07:45,2019-11-11 06:07:45,105327100
13991889,AppsFlyer,is_organic,1,2019-11-12 00:38:29,2019-11-12 00:38:29,105399072
13991889,AppsFlyer,af_status,Organic,2019-11-12 00:38:29,2019-11-12 00:38:29,105399073
13991889,AppsFlyer,af_message,organic install,2019-11-12 00:38:29,2019-11-12 00:38:29,105399074
13991889,AppsFlyer,is_organic,1,2019-12-15 04:04:04,2019-12-15 04:04:04,109194591
13991889,AppsFlyer,af_status,Organic,2019-12-15 04:04:04,2019-12-15 04:04:04,109194592
