updated_at,series_id,user_id,type,series_name,watch_count,created_at,uuid,type-uuid-n,watches,rewatch_count,follow_date_range_key,entity_type,movie_name,release_date_range_key,release_date,alpha_range_key,runtime,season_number,series_uuid,episode_id,watch_date,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,watch_date_range_key,unitarian,country
2019-08-08 05:10:39,,13991889,follow,,,2019-08-08 05:10:39,abce8275-53cf-4572-88e5-a931d47c8246,follow-abce8275-53cf-4572-88e5-a931d47c8246-0,,0,follow-follow-date-1565241039,movie,The Proposal,,,,,,,,,,,,,,,
2019-08-10 05:51:21,,13991889,follow,,,2019-08-10 05:51:21,abf88efb-3cc4-4663-8dd3-1ffb8a7deb56,follow-abf88efb-3cc4-4663-8dd3-1ffb8a7deb56-0,,0,follow-follow-date-1565416281,movie,Peter Pan,,,,,,,,,,,,,,,
2020-10-29 04:11:59,,13991889,follow,,,2020-10-29 04:11:59,ac1fea86-9db2-4936-aa14-71a62661fb9a,follow-ac1fea86-9db2-4936-aa14-71a62661fb9a-0,,0,follow-follow-date-1603944719,movie,Death Note,,2017-08-25 00:00:00,,,,,,,,,,,,,
2019-08-08 05:16:58,,13991889,follow,,,2019-08-08 05:16:58,ac2f2b25-caec-49be-aff6-e5d0baca3d50,follow-ac2f2b25-caec-49be-aff6-e5d0baca3d50-0,,0,follow-follow-date-1565241418,movie,John Wick: Chapter 3 - Parabellum,,,,,,,,,,,,,,,
2024-02-26 00:34:09,,13991889,follow,,,2024-02-26 00:34:09,ac4cd096-79df-42ab-8593-087d2e4fa3f3,follow-ac4cd096-79df-42ab-8593-087d2e4fa3f3-0,,,follow-follow-date-1708907649,movie,BlackBerry,follow-release-date-2023-05-12,2023-05-12 00:00:00,follow-alpha-blackberry,7320,,,,,,,,,,,
2019-08-10 05:50:56,,13991889,follow,,,2019-08-10 05:50:56,acecdd25-b3cb-42ad-aadd-9765a17d2d75,follow-acecdd25-b3cb-42ad-aadd-9765a17d2d75-0,,0,follow-follow-date-1565416256,movie,Cinderella,,,,,,,,,,,,,,,
2019-11-16 19:47:35,,13991889,follow,,,2019-11-16 19:47:35,ad66bc35-4213-4ff3-8b9a-4a135b844560,follow-ad66bc35-4213-4ff3-8b9a-4a135b844560-0,,0,follow-follow-date-1573933655,movie,The Inventor: Out for Blood in Silicon Valley,,2019-01-24 00:00:00,,,,,,,,,,,,,
2020-06-22 02:36:30,,13991889,follow,,,2020-06-22 02:36:30,ad7a827f-c79e-4e8b-9b74-cd6911d84790,follow-ad7a827f-c79e-4e8b-9b74-cd6911d84790-0,,0,follow-follow-date-1592793390,movie,ドラゴンボールZ 地球まるごと超決戦,,1990-06-07 00:00:00,,,,,,,,,,,,,
2019-08-10 06:02:15,,13991889,follow,,,2019-08-10 06:02:15,ae1a5efe-1806-4d57-a0ea-dbeb199e4ec9,follow-ae1a5efe-1806-4d57-a0ea-dbeb199e4ec9-0,,0,follow-follow-date-1565416935,movie,Scary Movie 2,,,,,,,,,,,,,,,
2020-02-07 03:19:46,,13991889,follow,,,2020-02-07 03:19:46,aefb2fc2-75b2-4c73-8eaa-5729b794b025,follow-aefb2fc2-75b2-4c73-8eaa-5729b794b025-0,,0,follow-follow-date-1581045586,movie,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),,2020-02-06 00:00:00,,,,,,,,,,,,,
2019-08-10 06:05:18,,13991889,follow,,,2019-08-10 06:05:18,af6e2e89-752c-48ff-8e93-5c64ff65437b,follow-af6e2e89-752c-48ff-8e93-5c64ff65437b-0,,0,follow-follow-date-1565417118,movie,The Christmas Chronicles,,,,,,,,,,,,,,,
2020-06-22 02:36:29,,13991889,follow,,,2020-06-22 02:36:29,af9f84ab-6e36-47d7-859e-3bf52b3555e7,follow-af9f84ab-6e36-47d7-859e-3bf52b3555e7-0,,0,follow-follow-date-1592793389,movie,ドラゴンボールZ 超サイヤ人だ孫悟空,,1991-03-19 00:00:00,,,,,,,,,,,,,
2024-02-26 00:34:50,,13991889,follow,,,2024-02-26 00:34:50,afbaa9dd-e9a1-4252-a7c3-46afc13d08c7,follow-afbaa9dd-e9a1-4252-a7c3-46afc13d08c7-0,,,follow-follow-date-1708907690,movie,The Wonderful Story of Henry Sugar,follow-release-date-2023-09-01,2023-09-01 00:00:00,follow-alpha-the-wonderful-story-of-henry-sugar,2460,,,,,,,,,,,
2019-08-10 05:51:37,,13991889,follow,,,2019-08-10 05:51:37,afbad037-eaf1-44ef-8be6-02c084602478,follow-afbad037-eaf1-44ef-8be6-02c084602478-0,,0,follow-follow-date-1565416297,movie,The Conjuring,,,,,,,,,,,,,,,
2023-08-25 20:03:43,,13991889,follow,,,2023-08-25 20:03:43,afd927f3-0a60-4906-a3e3-8040bcfa1c03,follow-afd927f3-0a60-4906-a3e3-8040bcfa1c03-0,,,follow-follow-date-1692993823,movie,Talk to Me,follow-release-date-2023-08-17,2023-08-17 00:00:00,follow-alpha-talk-to-me,5640,,,,,,,,,,,
