created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,emotion_id
2018-09-04 19:43:13,2018-09-04 19:43:13,Steven Universe,2,7,13991889,5360059,1
2018-09-04 19:57:05,2018-09-04 19:57:05,Steven Universe,2,8,13991889,5360066,3
2018-09-08 21:55:16,2018-09-08 21:55:16,Steven Universe,2,10,13991889,5360125,1
2018-09-08 22:53:15,2018-09-08 22:53:15,Steven Universe,2,11,13991889,5360137,3
2018-09-20 19:59:00,2018-09-20 19:59:00,Steven Universe,2,25,13991889,5363792,3
2018-09-20 20:35:55,2018-09-20 20:35:55,Steven Universe,2,26,13991889,5363793,3
2017-12-11 02:17:44,2017-12-11 02:17:44,Van Helsing,1,1,13991889,5545438,3
2018-09-24 19:01:03,2018-09-24 19:01:03,Steven Universe,3,1,13991889,5576362,1
2018-09-24 19:01:28,2018-09-24 19:01:28,Steven Universe,3,2,13991889,5576363,3
2018-09-24 19:14:46,2018-09-24 19:14:46,Steven Universe,3,4,13991889,5576364,1
2018-09-24 19:01:17,2018-09-24 19:01:18,Steven Universe,3,3,13991889,5576365,2
2018-09-25 04:44:53,2018-09-25 04:44:53,Steven Universe,3,5,13991889,5576366,2
2018-07-22 06:03:13,2018-07-22 06:03:13,Channel Zero,1,1,13991889,5700172,3
2018-07-12 00:58:31,2018-07-12 00:58:31,3%,1,3,13991889,5787419,3
2018-05-17 00:44:55,2018-05-17 00:44:55,Dragon Ball Super,4,27,13991889,5880351,2
2018-05-17 00:44:57,2018-05-17 00:44:57,Dragon Ball Super,4,28,13991889,5880381,2
2018-05-17 00:45:00,2018-05-17 00:45:00,Dragon Ball Super,4,29,13991889,5880397,1
2018-05-17 00:45:01,2018-05-17 00:45:01,Dragon Ball Super,4,30,13991889,5880400,3
2018-08-27 21:03:57,2018-08-27 21:03:57,The 100,4,7,13991889,5940804,4
2018-09-08 14:50:32,2018-09-08 14:50:32,The 100,4,13,13991889,5940805,3
2018-08-31 20:12:16,2018-08-31 20:12:16,The 100,4,8,13991889,5941009,3
2018-09-07 20:51:10,2018-09-07 20:51:10,The 100,4,11,13991889,5941011,1
2018-09-07 20:50:53,2018-09-07 20:50:53,The 100,4,9,13991889,5941030,3
2018-09-07 22:50:57,2018-09-07 22:50:57,The 100,4,12,13991889,5943802,1
2018-09-07 20:51:01,2018-09-07 20:51:01,The 100,4,10,13991889,5947380,3
2017-07-12 05:00:35,2017-07-12 05:00:36,Legion,1,7,13991889,5956624,3
2017-07-12 05:00:48,2017-07-12 05:00:48,Legion,1,8,13991889,5956627,3
2017-12-11 19:40:47,2017-12-11 19:40:47,Disjointed,1,10,13991889,6055038,3
2017-09-21 03:10:57,2017-09-21 03:10:57,Narcos,3,3,13991889,6195654,3
2018-07-29 19:41:46,2018-07-29 19:41:46,Krypton,1,1,13991889,6213689,1
2018-07-29 01:02:15,2018-07-29 01:02:15,Final Space,1,1,13991889,6218771,2
2017-11-05 05:52:02,2017-11-05 05:52:02,DC's Legends of Tomorrow,3,4,13991889,6232850,3
2018-07-02 20:03:39,2018-07-02 20:03:39,Dragon Ball Super,5,29,13991889,6241912,4
2018-07-16 03:57:14,2018-07-16 03:57:20,Happy!,1,1,13991889,6279753,1
2018-07-29 21:31:46,2018-07-29 21:31:46,Krypton,1,2,13991889,6299661,3
2018-08-19 17:33:14,2018-08-19 17:33:14,Krypton,1,3,13991889,6299662,3
2018-08-22 21:02:36,2018-08-22 21:02:36,Krypton,1,4,13991889,6299664,3
2018-07-16 03:56:59,2018-07-16 03:56:59,Happy!,1,2,13991889,6374933,1
2018-09-09 23:45:30,2018-09-09 23:45:30,Krypton,1,5,13991889,6496773,3
2018-09-10 02:18:09,2018-09-10 02:18:09,Krypton,1,6,13991889,6496774,3
2018-09-11 18:01:39,2018-09-11 18:01:39,Krypton,1,7,13991889,6496776,3
2018-09-11 18:01:31,2018-09-11 18:01:31,Krypton,1,8,13991889,6496777,3
2018-08-07 05:34:37,2018-08-07 05:34:37,3%,2,1,13991889,6532980,1
2018-07-29 01:02:18,2018-07-29 01:02:18,Final Space,1,2,13991889,6537947,2
