user_id,name,value,created_at,updated_at,id
13991889,latest-version,smart-categories-v2,2017-07-11 22:00:57,2017-07-11 22:00:57,34756964
13991889,signup_reason,init:0,2017-07-11 22:00:57,2017-07-11 22:00:57,34756965
13991889,signup-hint,faster-setup,2017-07-11 22:00:58,2017-07-11 22:00:58,34756966
13991889,signup-hint-color,#8ed43d,2017-07-11 22:00:58,2017-07-11 22:00:58,34756967
13991889,show_skip_signup,1,2017-07-11 22:00:58,2017-07-11 22:00:58,34756968
13991889,profile_giftbox_hint_min_days,5,2017-07-11 22:00:58,2017-07-11 22:00:58,34756969
13991889,profile_giftbox_hint_style,popover,2017-07-11 22:00:58,2017-07-11 22:00:58,34756970
13991889,profile_giftbox_popover_type,0,2017-07-11 22:00:58,2017-07-11 22:00:58,34756971
13991889,profile_giftbox_popover_text,1,2017-07-11 22:00:58,2017-07-11 22:00:58,34756972
13991889,profile_giftbox_popover_text_color,#ffffff,2017-07-11 22:00:58,2017-07-11 22:00:58,34756973
13991889,profile_giftbox_popover_bg_color,#8ed43d,2017-07-11 22:00:58,2017-07-11 22:00:58,34756974
13991889,auto_share_cta_style,2,2017-07-11 22:00:58,2017-07-11 22:00:58,34756975
13991889,last_notifications_key,"{""user_id"":{""N"":""13991889""},""time"":{""N"":""1705041379126""}}",2017-07-11 22:03:52,2025-04-24 22:37:03,34757902
13991889,last_time_loaded_conversations,2018-11-26 19:08:41,2017-07-11 22:03:52,2018-11-26 19:08:41,34757903
13991889,last_time_loaded_new_feed,2018-12-01 18:01:58,2017-07-11 22:05:13,2018-12-01 18:01:58,34758304
13991889,profile_privacy,private,2017-07-11 23:00:20,2019-05-25 22:41:56,34772302
13991889,notifications_friend_comments,1,2017-07-11 23:01:08,2024-10-26 00:01:08,34772569
13991889,last_time_loaded_notifications,2025-04-24 22:37:03,2017-07-26 00:06:16,2025-04-24 22:37:03,39493514
13991889,locale,en,2018-01-12 02:20:15,2025-11-09 04:06:36,91063069
13991889,show_personal_info_screen_in_onboarding,0,2018-02-01 03:51:58,2019-05-02 14:34:03,100379712
13991889,last_reco_time_first_element_loaded-recommended,2019-01-11 18:46:40,2018-02-07 23:57:37,2019-01-11 18:46:40,103725815
13991889,last_reco_time_first_element_loaded-trending,2019-04-06 23:43:07,2018-02-15 18:32:36,2019-04-06 23:43:07,107271724
13991889,last_explore_change_action_time,2026-07-05 01:52:13,2018-03-18 22:40:45,2026-07-05 01:52:13,120012558
13991889,last_time_loaded_explore,2019-01-11 18:46:40,2018-03-26 23:26:07,2019-01-11 18:46:40,123228527
13991889,already_invited_friends,1,2018-03-29 16:16:24,2018-03-29 16:16:24,124315629
13991889,recommended_toasts_seen_show_ids,"[295068,275274,323168,277165,328361,250749,332353,270701,340234,349643,330374]",2018-04-20 20:13:56,2018-10-21 23:21:56,132963836
13991889,is_tracked_on_apptimize,1,2018-08-09 00:15:46,2020-03-25 19:05:30,169031578
13991889,last_reco_time_first_element_loaded-most_followed,2018-11-25 19:41:03,2018-11-25 19:41:03,2018-11-25 19:41:03,216774933
13991889,appsflyer_device_id,1763519247791-5909676689193893687,2019-01-31 17:35:00,2025-11-19 02:27:35,238600801
13991889,shown_movies_announcement_modal,1,2019-08-08 07:13:08,2019-08-08 07:13:08,282426677
