object_type,object_id,action,last_action_date,created_at,updated_at,user_id
quiz,110,seen_leaderboard,2017-09-14 00:17:58 +0000 UTC,2017-09-14 00:17:58,2017-09-14 00:17:58,13991889
quiz,129,seen_leaderboard,2017-09-14 00:21:15 +0000 UTC,2017-09-14 00:21:15,2017-09-14 00:21:15,13991889
quiz,159,seen_leaderboard,2018-04-13 02:01:41 +0000 UTC,2018-04-13 02:01:41,2018-04-13 02:01:41,13991889
quiz,177,seen_leaderboard,2018-03-01 06:45:07 +0000 UTC,2018-03-01 06:45:07,2018-03-01 06:45:07,13991889
quiz,191,seen_leaderboard,2017-10-14 17:11:51 +0000 UTC,2017-10-14 17:11:51,2017-10-14 17:11:51,13991889
quiz,204,seen_leaderboard,2018-03-01 06:40:56 +0000 UTC,2018-03-01 06:40:56,2018-03-01 06:40:56,13991889
quiz,207,seen_leaderboard,2018-03-01 06:42:56 +0000 UTC,2018-03-01 06:42:56,2018-03-01 06:42:56,13991889
quiz,214,seen_leaderboard,2018-04-13 02:03:35 +0000 UTC,2018-04-13 02:03:35,2018-04-13 02:03:35,13991889
quiz,233,seen_leaderboard,2017-11-24 04:34:52 +0000 UTC,2017-11-24 04:34:52,2017-11-24 04:34:52,13991889
quiz,247,seen_leaderboard,2017-11-24 04:38:14 +0000 UTC,2017-11-24 04:38:14,2017-11-24 04:38:14,13991889
quiz,322,seen_leaderboard,2018-02-27 01:22:27 +0000 UTC,2018-02-27 01:22:27,2018-02-27 01:22:27,13991889
quiz,364,seen_leaderboard,2018-03-01 06:38:27 +0000 UTC,2018-03-01 06:38:27,2018-03-01 06:38:27,13991889
quiz,472,seen_leaderboard,2018-11-25 19:46:40 +0000 UTC,2018-11-25 19:46:40,2018-11-25 19:46:40,13991889
quiz,475,seen_leaderboard,2018-11-25 19:43:53 +0000 UTC,2018-11-25 19:43:53,2018-11-25 19:43:53,13991889
quiz,84,seen_leaderboard,2017-09-14 00:19:34 +0000 UTC,2017-09-14 00:19:34,2017-09-14 00:19:34,13991889
