object_type,object_id,source,created_at,updated_at,user_id
article,16855,mobile,2019-05-15 16:37:46,2019-05-15 16:37:46,13991889
article,19941,mobile,2021-11-23 17:09:23,2021-11-23 17:09:23,13991889
